"decision","decision_basis","expansion","npc_id","name","node_count","source_addons","source_files","coordinates","quest_ids","criteria_ids"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50331","Go-Kan","1","HandyNotes_MistsOfPandariaTreasures","KrasarangWilds.lua","39402880","","21099"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50332","Korda Torros","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","47508123","","21100"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50333","Lon the Bull","1","HandyNotes_MistsOfPandariaTreasures","TownlongSteppes.lua","64004940","","21101"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50334","Dak the Breaker","1","HandyNotes_MistsOfPandariaTreasures","DreadWastes.lua","25002860","","21102"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50336","Yorik Sharpeye","1","HandyNotes_MistsOfPandariaTreasures","ValeOfEternalBlossoms.lua","88084434","","21103"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50338","Kor'nas Nightsavage","1","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","43407640","","21069"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50339","Sulik'shor","1","HandyNotes_MistsOfPandariaTreasures","ValleyOfTheFourWinds.lua","36802540","32098","21070"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50340","Gaarn the Toxic +2","1","HandyNotes_MistsOfPandariaTreasures","KrasarangWilds.lua","53403860","","21071"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50341","Borginn Darkfist","1","HandyNotes_MistsOfPandariaTreasures","KunLaiSummit.lua","55404340","","21072"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50344","Norlaxx","1","HandyNotes_MistsOfPandariaTreasures","TownlongSteppes.lua","53806340","","21073"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50347","Karr the Darkener","1","HandyNotes_MistsOfPandariaTreasures","DreadWastes.lua","71803740","","21074"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50349","Kang the Soul Thief","1","HandyNotes_MistsOfPandariaTreasures","ValeOfEternalBlossoms.lua","15003540","","21075"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50350","Morgrinn Crackfang +2","1","HandyNotes_MistsOfPandariaTreasures","JadeForest.lua","40801520","","21076"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50351","Jonn-Dar","1","HandyNotes_MistsOfPandariaTreasures","ValleyOfTheFourWinds.lua","18407740","","21077"
"already_achievement_backed","npc_already_present_in_collectionist_rare_data","mists_of_pandaria","50352","Qu'nas","1","HandyNotes_MistsOfPandariaTreasures","KrasarangWilds.lua","67202300","","21078"
