module,natural_id,name,map_id,x,y,label,publishers,spawns,confidence
mounts,293,Illidari Doomhawk,71,0.644,0.507,Illidari Doomhawk,1,1,medium
mounts,561,Thundering Onyx Cloud Serpent,554,0.6587,0.566,Thundering Onyx Cloud Serpent,1,1,medium
mounts,657,Garn Nighthowl,525,0.132,0.506,Garn Nighthowl,1,1,medium
mounts,803,Mastercraft Gravewing,1961,0.465,0.7959,Mastercraft Gravewing,1,1,high
mounts,1043,Kua'fon,862,0.706,0.51,Kua'fon,1,1,high
mounts,1173,Broken Highland Mustang,14,0.4891,0.3996,Broken Highland Mustang,1,1,high
mounts,1174,Highland Mustang,14,0.5356,0.5764,Highland Mustang,1,1,high
mounts,1180,Swift Albino Raptor,14,0.6534,0.7116,Swift Albino Raptor,1,1,high
mounts,1183,Skullripper,14,0.5715,0.4575,Skullripper,1,1,high
mounts,1185,Witherbark Direwing,14,0.6748,0.6058,Witherbark Direwing,1,1,high
mounts,1199,Blackpaw,62,0.495,0.251,Blackpaw,1,2,low
mounts,1200,Ashenvale Chimaera,62,0.5653,0.3078,Ashenvale Chimaera,1,1,high
mounts,1201,Frightened Kodo,62,0.4131,0.6548,Frightened Kodo,1,1,high
mounts,1229,Rusty Mechanocrawler,1462,0.5289,0.4092,Rusty Mechanocrawler,1,1,medium
mounts,1248,Junkheap Drifter,1462,0.6563,0.785,Junkheap Drifter,1,1,high
mounts,1249,Child of Torcali,862,0.6817,0.4172,Child of Torcali,1,1,high
mounts,1257,Silent Glider,1355,0.602,0.474,Silent Glider,1,1,high
mounts,1297,Clutch of Ha-Li,1530,0.2951,0.38,Clutch of Ha-Li,1,1,high
mounts,1298,Hopecrusher Gargon,1525,0.5198,0.5179,Hopecrusher Gargon,1,1,high
mounts,1306,Swift Gloomhoof,1565,0.5787,0.4983,Swift Gloomhoof,1,1,high
mounts,1307,Sundancer,1533,0.614,0.905,Sundancer,1,1,high
mounts,1310,Horrid Dredwing,1525,0.4584,0.7919,Horrid Dredwing,1,1,high
mounts,1313,Rajani Warserpent,1530,0.219,0.1232,Rajani Warserpent,1,1,high
mounts,1314,Drake of the Four Winds,1527,0.739,0.8353,Drake of the Four Winds,1,1,high
mounts,1317,Waste Marauder,1527,0.6859,0.3204,Waste Marauder,1,1,high
mounts,1319,Malevolent Drone,1527,0.3085,0.4971,Malevolent Drone,1,1,high
mounts,1324,Elusive Quickhoof,864,0.43,0.69,Elusive Quickhoof,1,1,high
mounts,1327,Ren's Stalwart Hound,1530,0.1218,0.3091,Ren's Stalwart Hound,1,1,high
mounts,1328,Xinlao,1530,0.3415,0.6805,Xinlao,1,1,high
mounts,1329,Springfur Alpaca,1527,0.47,0.48,Springfur Alpaca,1,1,high
mounts,1355,Wakener's Runestag,1662,0.295,0.455,Wakener's Runestag,1,1,medium
mounts,1358,Enchanted Wakener's Runestag,1662,0.295,0.455,Enchanted Wakener's Runestag,1,1,medium
mounts,1360,Shimmermist Runner,1565,0.2628,0.5897,Shimmermist Runner,1,1,high
mounts,1362,Spinemaw Gladechewer,1565,0.2788,0.5248,Spinemaw Gladechewer,1,1,high
mounts,1366,Bonehoof Tauralus,1536,0.4421,0.5132,Bonehoof Tauralus,1,1,high
mounts,1370,Armored Bonehoof Tauralus,1536,0.5174,0.4439,Armored Bonehoof Tauralus,1,1,high
mounts,1372,Blisterback Bloodtusk,1536,0.3371,0.8016,Blisterback Bloodtusk,1,1,high
mounts,1373,Gorespine,1536,0.6602,0.3532,Gorespine,1,1,high
mounts,1376,Silvertip Dredwing,1662,0.265,0.455,Silvertip Dredwing,1,1,medium
mounts,1378,Harvester's Dredwing,1543,0.2946,0.1808,Harvester's Dredwing,1,1,medium
mounts,1379,Endmire Flyer,1525,0.6248,0.4716,Endmire Flyer,1,1,high
mounts,1392,Pale Acidmaw,1662,0.295,0.455,Pale Acidmaw,1,1,medium
mounts,1393,Wild Glimmerfur Prowler,1565,0.3011,0.5536,Wild Glimmerfur Prowler,1,1,high
mounts,1397,Wildseed Cradle,1565,0.6389,0.3778,Wildseed Cradle,1,1,high
mounts,1404,Silverwind Larion,1533,0.3601,0.2652,Silverwind Larion,1,1,high
mounts,1408,Gruesome Flayedwing,1662,0.265,0.41,Gruesome Flayedwing,1,1,medium
mounts,1410,Hulking Deathroc,1536,0.57,0.7421,Hulking Deathroc,1,1,high
mounts,1411,Predatory Plagueroc,1536,0.316,0.354,Predatory Plagueroc,1,1,high
mounts,1413,Dauntless Duskrunner,1662,0.295,0.41,Dauntless Duskrunner,1,1,medium
mounts,1414,Sinrunner Blanchy,1525,0.6287,0.4341,Sinrunner Blanchy,1,1,medium
mounts,1415,Arboreal Gulper,1565,0.3242,0.3026,Arboreal Gulper,1,1,high
mounts,1426,Ascended Skymane,1533,0.5349,0.8868,Ascended Skymane,1,1,high
mounts,1434,Deepstar Aurelid,1970,0.5228,0.7541,Deepstar Aurelid,1,1,high
mounts,1437,Battle-Bound Warhound,1536,0.5035,0.4728,Battle-Bound Warhound,1,1,high
mounts,1442,Corridor Creeper,1911,0.5519,0.7712,Corridor Creeper,1,1,medium
mounts,1449,Lord of the Corpseflies,1961,0.5993,0.4371,Lord of the Corpseflies,1,1,high
mounts,1467,Noble Bruffalon,2151,0.3432,0.5997,Noble Bruffalon,1,1,high
mounts,1469,Magmashell,2022,0.711,0.251,Magmashell,1,1,high
mounts,1475,Hand of Bahmethra,1543,0.8537,0.5524,Hand of Bahmethra,1,1,medium
mounts,1476,Wild Hunt Legsplitter,1543,0.22,0.4412,Wild Hunt Legsplitter,1,1,medium
mounts,1477,Undying Darkhound,1543,0.3386,0.5473,Undying Darkhound,1,1,medium
mounts,1478,Skyskin Hornstrider,2085,0.6124,0.4679,Skyskin Hornstrider,1,1,medium
mounts,1482,Xy Trustee's Gearglider,2371,0.4196,0.2212,Xy Trustee's Gearglider,1,1,high
mounts,1487,Summer Wilderling,1961,0.3318,0.3938,Summer Wilderling,1,1,high
mounts,1493,Forsworn Aquilon,1961,0.5687,0.3237,Forsworn Aquilon,1,1,high
mounts,1502,Fallen Charger,1543,0.1771,0.4953,Fallen Charger,1,1,medium
mounts,1503,Hand of Nilganihmaht,1543,0.255,0.368,Hand of Nilganihmaht,1,1,medium
mounts,1506,Crimson Shardhide,1961,0.4422,0.295,Crimson Shardhide,1,1,high
mounts,1509,Garnet Razorwing,1961,0.5627,0.6617,Garnet Razorwing,1,1,high
mounts,1510,Dusklight Razorwing,1961,0.2572,0.5108,Dusklight Razorwing,1,1,high
mounts,1511,"Maelie, the Wanderer",1961,0.6068,0.2192,"Maelie, the Wanderer",1,1,high
mounts,1514,Rampaging Mauler,1961,0.13,0.75,Rampaging Mauler,1,1,high
mounts,1545,Divine Kiss of Ohn'ahra,2023,0.5747,0.3193,Divine Kiss of Ohn'ahra,1,1,high
mounts,1553,Liberated Slyvern,2024,0.2856,0.4743,Liberated Slyvern,1,1,high
mounts,1564,Colossal Soulshredder Mawrat,1911,0.5528,0.5,Colossal Soulshredder Mawrat,1,1,medium
mounts,1565,Colossal Umbrahide Mawrat,1911,0.5328,0.4528,Colossal Umbrahide Mawrat,1,1,medium
mounts,1566,Colossal Ebonclaw Mawrat,1911,0.4744,0.7453,Colossal Ebonclaw Mawrat,1,1,medium
mounts,1569,Patient Bufonid,1970,0.345,0.6548,Patient Bufonid,1,1,high
mounts,1584,Colossal Plaguespew Mawrat,1970,0.632,0.2603,Colossal Plaguespew Mawrat,1,1,medium
mounts,1603,Subterranean Magmammoth,2133,0.5589,0.5537,Subterranean Magmammoth,1,1,high
mounts,1622,Stormhide Salamanther,2112,0.3811,0.3773,Stormhide Salamanther,1,1,medium
mounts,1623,Seething Slug,2133,0.3233,0.3935,Seething Slug,1,1,high
mounts,1629,Scrappy Worldsnail,2022,0.3473,0.4672,Scrappy Worldsnail,1,1,high
mounts,1638,Explorer's Stonehide Packbeast,2025,0.6137,0.3139,Explorer's Stonehide Packbeast,1,1,high
mounts,1639,"Lizi, Thunderspine Tramper",2023,0.562,0.771,"Lizi, Thunderspine Tramper",1,1,high
mounts,1656,Otto,2022,0.2033,0.3977,Otto,1,1,medium
mounts,1664,Guardian Vorquin,2151,0.3561,0.5948,Guardian Vorquin,1,1,high
mounts,1665,Swift Armored Vorquin,2151,0.3561,0.5948,Swift Armored Vorquin,1,1,high
mounts,1667,Armored Vorquin Leystrider,2151,0.3561,0.5948,Armored Vorquin Leystrider,1,1,high
mounts,1668,Majestic Armored Vorquin,2151,0.3561,0.5948,Majestic Armored Vorquin,1,1,high
mounts,1672,Zenet Hatchling,2023,0.3145,0.6387,Zenet Hatchling,1,1,high
mounts,1674,Temperamental Skyclaw,2024,0.1904,0.2397,Temperamental Skyclaw,1,1,high
mounts,1683,Crimson Vorquin,2151,0.3561,0.5948,Crimson Vorquin,1,1,high
mounts,1684,Sapphire Vorquin,2151,0.3561,0.5948,Sapphire Vorquin,1,1,high
mounts,1685,Bronze Vorquin,2151,0.3561,0.5948,Bronze Vorquin,1,1,high
mounts,1686,Obsidian Vorquin,2151,0.3561,0.5948,Obsidian Vorquin,1,1,high
mounts,1729,Big Slick in the City,2133,0.4425,0.7993,Big Slick in the City,1,1,high
mounts,1730,Igneous Shalewing,2133,0.5589,0.5537,Igneous Shalewing,1,1,high
mounts,1732,Cobalt Shalewing,2133,0.4222,0.6524,Cobalt Shalewing,1,1,high
mounts,1736,Boulder Hauler,2133,0.5808,0.5381,Boulder Hauler,1,1,high
mounts,1794,Pattie,2025,0.6016,0.5874,Pattie,1,1,medium
mounts,1813,Mimiron's Jumpjets,2112,0.87,0.25,Mimiron's Jumpjets,1,1,medium
mounts,1834,Ochre Dreamtalon,2200,0.4867,0.6789,Ochre Dreamtalon,1,1,high
mounts,1837,Delugen,2200,0.5022,0.618,Delugen,1,1,high
mounts,1838,Talont,2200,0.5022,0.618,Talont,1,1,high
mounts,1839,Stargrazer,2200,0.5022,0.618,Stargrazer,1,1,high
mounts,1938,Mammyth,2200,0.5022,0.618,Mammyth,1,1,high
mounts,1939,Imagiwing,2200,0.5022,0.618,Imagiwing,1,1,high
mounts,1940,Salatrancer,2200,0.5022,0.618,Salatrancer,1,1,high
mounts,1943,"Incognitro, the Indecipherable Felcycle",2255,0.5615,0.1797,"Incognitro, the Indecipherable Felcycle",1,1,medium
mounts,1944,Golden Regal Scarab,2112,0.1921,0.5029,Golden Regal Scarab,1,1,medium
mounts,2038,Clayscale Hornstrider,2262,0.5533,0.5134,Clayscale Hornstrider,1,1,medium
mounts,2165,Soaring Meaderbee,2248,0.7433,0.453,Soaring Meaderbee,1,1,high
mounts,2176,Alunira,2248,0.2333,0.5817,Alunira,1,1,high
mounts,2192,Beledar's Spawn,2215,0.25,0.45,Beledar's Spawn,1,1,high
mounts,2205,Ol' Mole Rufus,2214,0.5672,0.7668,Ol' Mole Rufus,1,1,high
mounts,2272,Crimson Armored Growler,2346,0.3915,0.2219,Crimson Armored Growler,1,1,high
mounts,2283,Innovation Investigator,2346,0.432,0.828,Innovation Investigator,1,1,high
mounts,2284,Ochre Delivery Rocket,2346,0.5329,0.7271,Ochre Delivery Rocket,1,1,high
mounts,2286,Blackwater Shredder Deluxe Mk 2,2346,0.6342,0.1673,Blackwater Shredder Deluxe Mk 2,1,1,high
mounts,2287,Darkfuse Demolisher,2346,0.3072,0.389,Darkfuse Demolisher,1,1,high
mounts,2288,Personalized Goblin S.C.R.A.P.per,2346,0.2574,0.3813,Personalized Goblin S.C.R.A.P.per,1,1,high
mounts,2290,Asset Advocator,2346,0.432,0.828,Asset Advocator,1,1,high
mounts,2292,Margin Manipulator,2346,0.432,0.828,Margin Manipulator,1,1,high
mounts,2293,Darkfuse Spy-Eye,2346,0.402,0.919,Darkfuse Spy-Eye,1,1,high
mounts,2294,Mean Green Flying Machine,2346,0.2712,0.7256,Mean Green Flying Machine,1,1,high
mounts,2333,Soweezi's Vintage Waveshredder,2369,0.6998,0.4855,Soweezi's Vintage Waveshredder,1,1,high
mounts,2469,Prismatic Snapdragon,2369,0.71,0.4862,Prismatic Snapdragon,1,1,high
mounts,2601,Pearlescent Krolusk,2371,0.7014,0.4983,Pearlescent Krolusk,1,1,high
mounts,2603,Sthaarbs's Last Lunch,2371,0.7404,0.3254,Sthaarbs's Last Lunch,1,1,high
pets,44,Siamese Cat,109,0.4352,0.3526,Siamese Cat,1,1,high
pets,51,Senegal,109,0.4352,0.3526,Senegal,1,1,high
pets,55,Undercity Cockroach,109,0.4352,0.3526,Undercity Cockroach,1,1,high
pets,69,Snowy Owl,83,0.574,0.46,Snowy Owl,1,1,medium
pets,78,Crimson Snake,109,0.4352,0.3526,Crimson Snake,1,1,high
pets,136,Mana Wyrmling,109,0.4352,0.3526,Mana Wyrmling,1,1,high
pets,137,Brown Rabbit,109,0.4352,0.3526,Brown Rabbit,1,1,high
pets,139,Red Moth,109,0.4352,0.3526,Red Moth,1,1,high
pets,145,Blue Dragonhawk Hatchling,109,0.4352,0.3526,Blue Dragonhawk Hatchling,1,1,high
pets,199,Kirin Tor Familiar,125,0.2435,0.5372,Kirin Tor Familiar,1,1,medium
pets,238,Razormaw Hatchling,56,0.698,0.292,Razormaw Hatchling,1,1,medium
pets,265,Pebble,207,0.5537,0.1414,Pebble,1,1,medium
pets,279,Tiny Shale Spider,207,0.612,0.226,Tiny Shale Spider,1,1,medium
pets,306,Winterspring Cub,83,0.5992,0.5159,Winterspring Cub,1,1,medium
pets,374,Black Lamb,37,0.354,0.686,Black Lamb,1,1,medium
pets,389,Tiny Harvester,52,0.448,0.346,Tiny Harvester,1,1,medium
pets,391,Mountain Cottontail,49,0.386,0.648,Mountain Cottontail,1,1,medium
pets,392,Redridge Rat,49,0.302,0.622,Redridge Rat,1,1,medium
pets,395,Fledgling Buzzard,49,0.27,0.324,Fledgling Buzzard,1,1,medium
pets,396,Dusk Spiderling,47,0.322,0.528,Dusk Spiderling,1,1,medium
pets,399,Rat Snake,47,0.508,0.606,Rat Snake,1,1,medium
pets,400,Widow Spiderling,47,0.326,0.494,Widow Spiderling,1,1,medium
pets,402,Swamp Moth,51,0.714,0.328,Swamp Moth,1,1,medium
pets,409,Polly,50,0.484,0.45,Polly,1,1,medium
pets,410,Wharf Rat,210,0.426,0.726,Wharf Rat,1,1,medium
pets,411,Baby Ape,210,0.632,0.808,Baby Ape,1,1,medium
