"decision","decision_basis","acquisition_expansion","first_trading_post_patch","first_patch_value","kind","collectible_id","att_source_id","name","item_id","occurrence_count","source_type_enum","source_text"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.2.7","100207","mount","125","30174","Riding Turtle","23720","2","8","|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.2.0","100200","mount","224","49322","Swift Zhevra","37719","2","7","|cFFFFD200Recruit-a-Friend |r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.2.6","100206","mount","371","74856","Blazing Hippogryph","54069","2","11","|cFFFFD200Vendor: |rLandro Longshot|n|cFFFFD200Location:|r Booty Bay|n|cFFFFD200Trading Post|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.0.5","100005","mount","376","75614","Celestial Steed","54811","2","9","|cFFFFD200Trading Post|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.2.5","100205","mount","382","75973","X-53 Touring Rocket","54860","2","11","|cFFFFD200Trading Post|r "
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.1.5","100105","mount","439","107203","Tyrael's Charger","76755","1","2","|cFFFFD200Trading Post|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.2.0","100200","mount","440","107516","Spectral Gryphon","76889","2","7","|cFFFFD200Promotion:|r Scroll of Resurrection|n"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.2.0","100200","mount","441","107517","Spectral Wind Rider","76902","2","7","|cFFFFD200Promotion:|r Scroll of Resurrection|n"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.1.0","100100","mount","454","171847","Cindermane Charger","118515","2","7","|cFFFFD200Recruit-a-Friend|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","tww","11.0.7","110007","mount","593","163024","Warforged Nightmare","112326","1","9","|cFFFFD200In-Game Shop|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.1.7","100107","mount","646","171840","Coldflame Infernal","137576","2","0","|cFFFFD200Trading Post|r "
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.2.6","100206","mount","1051","272770","The Dreadwake","160589","2","9","|cFFFFD200In-Game Shop|r |n"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.1.5","100105","mount","1266","302361","Alabaster Stormtalon","207964","2","11","|cFFFFD200Trading Post / Shop|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.1.5","100105","mount","1267","302362","Alabaster Thunderwing","207963","2","11","|cFFFFD200Trading Post / Shop|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.2.6","100206","mount","1468","349943","Amber Skitterfly","192766","3","11","|cFFFFD200Trading Post|r|n"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","tww","11.0.2","110002","mount","1550","359380","Depthstalker","187674","2","11","|cFFFFD200Trading Post|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.0.5","100005","mount","1573","366647","Magenta Cloud Serpent","189978","2","11","|cFFFFD200Trading Post|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.1.7","100107","mount","1574","366789","Crusty Crawler","190168","1","11","|cFFFFD200Trading Post|r"
"confirmed_policy_gap","att_trading_post_acquisition_confirmed_but_current_policy_excludes_rotating_source","dragonflight","10.1.0","100100","mount","1575","366790","Quawks","190169","2","11","|cFFFFD200Trading Post|r"
