"acquisition_expansion","species_id","name","creature_id","pet_type_enum","flags","source_type_enum","source_text","attribution_basis"
"battle_for_azeroth","2372","Shadowback Crawler","143031","8","26","4","|cFFFFD200Pet Battle:|r Stormsong Valley|n","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2373","River Frog","143032","8","26","4","|cFFFFD200Pet Battle: |rStormsong Valley","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2374","Freshwater Crawler","143033","8","26","4","|cFFFFD200Pet Battle: |rStormsong Valley","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2375","Vale Marmot","143034","7","26","4","|cFFFFD200Pet Battle: |rStormsong Valley","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2376","Valley Chicken","143035","2","26","4","|cFFFFD200Pet Battle: |rStormsong Valley","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2377","Sandyback Crawler","143036","8","26","4","|cFFFFD200Pet Battle: |rStormsong Valley, Tiragarde Sound","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2378","River Otter","143037","8","26","4","|cFFFFD200Pet Battle: |rDrustvar, Stormsong Valley","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2379","Honey Bee","143038","2","26","4","|cFFFFD200Pet Battle: |rStormsong Valley","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2380","Parasitic Boarfly","143039","2","26","4","|cFFFFD200Pet Battle: |rTiragarde Sound","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2381","Shack Crab","143040","8","26","4","|cFFFFD200Pet Battle: |rTiragarde Sound","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2382","Inland Croaker","143041","8","26","4","|cFFFFD200Pet Battle: |rTiragarde Sound","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2383","Giant Woodworm","143042","4","26","4","|cFFFFD200Pet Battle: |rTiragarde Sound","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2384","Shore Butterfly","143043","2","26","4","|cFFFFD200Pet Battle: |rZuldazar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2385","Barrier Hermit","143044","8","26","4","|cFFFFD200Pet Battle: |rZuldazar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2386","Coastal Scuttler","143045","8","26","4","|cFFFFD200Pet Battle: |rDrustvar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2387","Golden Beetle","143046","4","26","4","|cFFFFD200Pet Battle: |rZuldazar","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2388","Bloodfever Tarantula","143047","7","26","4","|cFFFFD200Pet Battle: |rNazmir","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2389","Elusive Skimmer","143048","8","26","4","|cFFFFD200Pet Battle: |rNazmir","handynotes_safari:HandyNotes_BattleForAzeroth"
"battle_for_azeroth","2390","Leafy Flutterwing","143049","2","26","4","|cFFFFD200Pet Battle: |rZuldazar","handynotes_safari:HandyNotes_BattleForAzeroth"
