"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"208","Eye of the Storm Victory","14803","0","1764","Win Eye of the Storm.","5897","1","566","1","0"
"208","Eye of the Storm Victory","14803","1","60217","Win Eye of the Storm.","5745","1","968","1","0"
"209","Eye of the Storm Veteran","14803","0","1767","Complete 100 victories in Eye of the Storm","5897","1","566","100","0"
"209","Eye of the Storm Veteran","14803","1","60220","Complete 100 victories in Eye of the Storm","5745","1","968","100","0"
"211","Storm Glory","14803","0","184","Capture a flag with 4 bases held","3693","30","183","1","0"
"212","Storm Capper","14803","0","5266","Capture the flag","438","30","183","1","0"
"212","Storm Capper","14803","1","53568","Capture the flag","33092","30","393","1","0"
"213","Stormtrooper","14803","0","5779","5 Flag Carriers","3685","70","0","5","0"
"213","Stormtrooper","14803","1","45066","5 Flag Carriers","28767","70","0","5","0"
"214","Flurry","14803","0","3146","Win in 6 minutes","1240","1","566","1","0"
"214","Flurry","14803","1","60218","Win in 6 minutes","37103","1","968","1","0"
"216","Bound for Glory","14803","0","5269","3 caps and no death","3353","30","183","3","0"
"216","Bound for Glory","14803","1","45067","3 caps and no death","28768","30","393","3","0"
"233","Bloodthirsty Berserker","14803","0","5216","Berserking killing blow","3684","56","0","1","0"
"233","Bloodthirsty Berserker","14803","1","60222","Berserking killing blow","37106","56","0","1","0"
"587","Stormy Assassin","14803","1","4062","Kill 5 people at the Blood Elf Tower","441","31","3870","5","0"
"587","Stormy Assassin","14803","2","4063","Kill 5 people at the Draenei Ruins","442","31","3871","5","0"
"587","Stormy Assassin","14803","3","4061","Kill 5 people at the Fel Reaver ruins","443","31","3872","5","0"
"587","Stormy Assassin","14803","4","4064","Kill 5 people at the Mage Tower","444","31","3869","5","0"
"647","Hellfire Ramparts","14805","1","958","Omor the Unscarred","18536","0","17308","1","0"
"647","Hellfire Ramparts","14805","2","960","Weaken the Ramparts","4461","27","9575","1","0"
"647","Hellfire Ramparts","14805","3","959","Weaken the Ramparts","4462","27","9572","1","0"
"648","The Blood Furnace","14805","1","963","Keli'dan the Breaker","3239","0","17377","1","0"
"649","The Slave Pens","14805","1","1223","Quagmirran","3240","0","17942","1","0"
"650","Underbog","14805","1","5291","The Black Stalker","3243","0","17882","1","0"
"650","Underbog","14805","2","5292","Stalk the Stalker","4463","27","9719","1","0"
"651","Mana-Tombs","14805","1","2495","Nexus-Prince Shaffar","3241","0","18344","1","0"
"651","Mana-Tombs","14805","2","2496","Undercutting the Competition","4464","27","10165","1","0"
"652","The Escape From Durnholde","14805","1","1226","Epoch Hunter","3242","0","18096","1","0"
"652","The Escape From Durnholde","14805","2","1227","Escape from Durnholde","4467","27","10284","1","0"
"653","Sethekk Halls","14805","1","1231","Talon King Ikiss","3245","0","18473","1","0"
"653","Sethekk Halls","14805","2","1230","Terokk's Legacy","4468","27","10098","1","0"
"654","Shadow Labyrinth","14805","1","2499","Murmur","3246","0","18708","1","0"
"654","Shadow Labyrinth","14805","2","2500","Into the Heart of the Labyrinth","4469","27","10095","1","0"
"654","Shadow Labyrinth","14805","3","2501","Trial of the Naaru: Strength","4474","27","10885","1","0"
"655","Opening of the Dark Portal","14805","1","1234","Aeonus","3247","0","17881","1","0"
"655","Opening of the Dark Portal","14805","2","1235","The Master's Touch","4471","27","9836","1","0"
"655","Opening of the Dark Portal","14805","3","1236","The Opening of the Dark Portal","4472","27","10297","1","0"
"656","The Steamvault","14805","1","1149","Warlord Kalithresh","3248","0","17798","1","0"
"656","The Steamvault","14805","2","1151","The Warlord's Hideout","4473","27","9763","1","0"
"656","The Steamvault","14805","3","1150","Trial of the Naaru: Strength","4474","27","10885","1","0"
"657","The Shattered Halls","14805","1","2687","Warchief Kargath Bladefist","3249","0","16808","1","0"
"657","The Shattered Halls","14805","2","2688","Turning the Tide ","4475","27","9492","1","0"
"657","The Shattered Halls","14805","3","2690","The Will of the Warchief","4476","27","9495","1","0"
"657","The Shattered Halls","14805","4","2691","Imprisoned in the Citadel","4487","27","9524","1","0"
"657","The Shattered Halls","14805","5","2692","Imprisoned in the Citadel","4488","27","9525","1","0"
"657","The Shattered Halls","14805","6","2689","Trial of the Naaru: Mercy","4489","27","10884","1","0"
"658","The Mechanar","14805","1","1239","Pathaleon the Calculator","3250","0","19220","1","0"
"658","The Mechanar","14805","2","1240","How to Break Into the Arcatraz","4480","27","10704","1","0"
"659","The Botanica","14805","1","3593","Warp Splinter","3251","0","17977","1","0"
"659","The Botanica","14805","2","3594","How to Break Into the Arcatraz","4480","27","10704","1","0"
"660","The Arcatraz","14805","1","4323","Harbinger Skyriss","3252","0","20912","1","0"
"660","The Arcatraz","14805","2","4324","Harbinger of Doom","4482","27","10882","1","0"
"660","The Arcatraz","14805","3","4325","Trial of the Naaru: Tenacity","4490","27","10886","1","0"
"661","Magister's Terrace","14805","1","4320","Kael'thas Sunstrider","3253","0","24664","1","0"
"661","Magister's Terrace","14805","2","4319","Hard to Kill","4484","27","11492","1","0"
"666","Auchenai Crypts","14805","1","1038","Exarch Maladaar","3244","0","18373","1","0"
"666","Auchenai Crypts","14805","2","1036","Auchindoun...","4465","27","10167","1","0"
"666","Auchenai Crypts","14805","3","1037","Everything Will Be Alright","4466","27","10164","1","0"
"667","Heroic: Hellfire Ramparts","14805","1","8030","Omor the Unscarred","3705","0","17308","1","0"
"667","Heroic: Hellfire Ramparts","14805","2","8031","Nazan","3706","0","17536","1","0"
"667","Heroic: Hellfire Ramparts","14805","3","8032","Vazruden the Herald","3816","0","17537","1","0"
"668","Heroic: The Blood Furnace","14805","1","530","Keli'dan the Breaker","3710","0","17377","1","0"
"669","Heroic: The Slave Pens","14805","1","1041","Quagmirran","3711","0","17942","1","0"
"670","Heroic: Underbog","14805","1","2371","The Black Stalker","3712","0","17882","1","0"
"671","Heroic: Mana-Tombs","14805","1","4439","Nexus-Prince Shaffar","3713","0","18344","1","0"
"672","Heroic: Auchenai Crypts","14805","1","2739","Exarch Maladaar","3714","0","18373","1","0"
"673","Heroic: The Escape From Durnholde","14805","1","5804","Epoch Hunter","3715","0","18096","1","0"
"674","Heroic: Sethekk Halls","14805","1","4976","Talon King Ikiss","3708","0","18473","1","0"
"675","Heroic: Shadow Labyrinth","14805","1","6196","Murmur","3716","0","18708","1","0"
"675","Heroic: Shadow Labyrinth","14805","2","6197","Trial of the Naaru: Strength","4474","27","10885","1","0"
"676","Heroic: Opening of the Dark Portal","14805","1","6167","Aeonus","3717","0","17881","1","0"
"677","Heroic: The Steamvault","14805","1","2374","Warlord Kalithresh","3718","0","17798","1","0"
"677","Heroic: The Steamvault","14805","2","2375","Trial of the Naaru: Strength","4474","27","10885","1","0"
"678","Heroic: The Shattered Halls","14805","1","939","Warchief Kargath Bladefist","3719","0","16808","1","0"
"678","Heroic: The Shattered Halls","14805","2","937","Imprisoned in the Citadel","4487","27","9524","1","0"
"678","Heroic: The Shattered Halls","14805","3","940","Imprisoned in the Citadel","4488","27","9525","1","0"
"678","Heroic: The Shattered Halls","14805","4","938","Trial of the Naaru: Mercy","4489","27","10884","1","0"
"679","Heroic: The Mechanar","14805","1","426","Pathaleon the Calculator","3720","0","19220","1","0"
"680","Heroic: The Botanica","14805","1","6208","Warp Splinter","3721","0","17977","1","0"
"681","Heroic: The Arcatraz","14805","1","2237","Harbinger Skyriss","3722","0","20912","1","0"
"681","Heroic: The Arcatraz","14805","2","2236","Trial of the Naaru: Tenacity","4490","27","10886","1","0"
"682","Heroic: Magister's Terrace","14805","1","3433","Kael'thas Sunstrider","3709","0","24664","1","0"
"690","Karazhan","14805","1","2556","Prince Malchezaar","3254","0","15690","1","0"
"690","Karazhan","14805","2","2557","A Demonic Presence","4491","27","9844","1","0"
"692","Gruul's Lair","14805","1","3706","Gruul the Dragonkiller","3256","0","19044","1","0"
"692","Gruul's Lair","14805","2","3719","The Cudgel of Kar'desh","4493","27","10901","1","0"
"692","Gruul's Lair","14805","3","3733","Aldori Legacy Defender","4908","36","28825","1","0"
"692","Gruul's Lair","14805","4","3718","Axe of the Gronn Lords","4909","36","28794","1","0"
"692","Gruul's Lair","14805","5","3734","Bloodmaw Magus-Blade","4910","36","28802","1","0"
"692","Gruul's Lair","14805","6","3728","Collar of Cho'gall","4911","36","28804","1","0"
"692","Gruul's Lair","14805","7","3725","Cowl of Nature's Breath","4912","36","28803","1","0"
"692","Gruul's Lair","14805","8","3726","Dragonspine Trophy","4913","36","28830","1","0"
"692","Gruul's Lair","14805","9","3727","Eye of Gruul","4914","36","28823","1","0"
"692","Gruul's Lair","14805","10","3729","Gauntlets of Martial Perfection","4915","36","28824","1","0"
"692","Gruul's Lair","14805","11","3730","Gauntlets of the Dragonslayer","4916","36","28827","1","0"
"692","Gruul's Lair","14805","12","3731","Gronn-Stitched Girdle","4917","36","28828","1","0"
"692","Gruul's Lair","14805","13","3732","Shuriken of Negation","4918","36","28826","1","0"
"692","Gruul's Lair","14805","14","3707","Teeth of Gruul","4919","36","28822","1","0"
"692","Gruul's Lair","14805","15","3708","Windshear Boots","4920","36","28810","1","0"
"692","Gruul's Lair","14805","16","3709","Cyclone Kilt","4921","36","29030","1","0"
"692","Gruul's Lair","14805","17","3710","Cyclone Legguards","4922","36","29036","1","0"
"692","Gruul's Lair","14805","18","3711","Cyclone War-Kilt","4923","36","29042","1","0"
