"collectible_type","source_id_type","source_id","mapped_id","guide_name","mapping","source_text","source_url","guide_url"
"mount","item","32458","183","Ashes of Al’ar","item_effect","Ashes of Al’ar Al’ar was the beloved pet of Kael’thas Sunstrider, who often boasted that death would never claim it. Perhaps he was right. Drop: Kael’thas Sunstrider The Eye, Tempest Keep --","https://www.wowhead.com/item=32458/ashes-of-alar&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","spell","41514","187","Azure Netherwing Drake","source_spell","Azure Netherwing Drake After promising to fly you to the ends of Outland, the netherwing drake was eventually drawn to the blue skies of Azeroth as well. Quest: Suraku the Azure Netherwing Drake Shattrath City, Outland --","https://www.wowhead.com/spell=41514/azure-netherwing-drake&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29221","159","Black Hawkstrider","item_effect","Black Hawkstrider ""Some of our brethren prefer horses, but the hawkstrider will always be the true symbol of Silvermoon."" – Winaestra Vendor: Winaestra Eversong Woods 1 Gold","https://www.wowhead.com/item=29221/black-hawkstrider&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29220","158","Blue Hawkstrider","item_effect","Blue Hawkstrider Nether Rays are among the most trusted, versatile mounts in all of Outland and beyond. Vendor: Grella Terrokkar Forest, Outland 200 Gold","https://www.wowhead.com/item=29220/blue-hawkstrider&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","28481","147","Brown Elekk","item_effect","Brown Elekk Patient and strong, the Elekk exemplify the Draenei attitude towards the hardships of life. Vendor: Torallius the Pack Handler Azuremyst Isle 1 Gold","https://www.wowhead.com/item=28481/brown-elekk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","33999","203","Cenarion War Hippogryph","item_effect","Cenarion War Hippogryph Members of the Cenarion Circle have shared a long and prosperous partnership with their hippogryph allies. When conflict is unavoidable, the Cenarion War Hippogryph is called into service. Vendor: Fedryen Swiftspear Zangarmarsh, Outland Faction: Cenarion Expedition - Exalted","https://www.wowhead.com/item=33999/cenarion-war-hippogryph&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","spell","41515","188","Cobalt Netherwing Drake","source_spell","Cobalt Netherwing Drake After promising to fly you to the ends of Outland, the netherwing drake was eventually drawn to the blue skies of Azeroth as well. Quest: Jorus the Cobalt Netheriwng Drake Shattrath City, Outland --","https://www.wowhead.com/spell=41515/cobalt-netherwing-drake&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","spell","39315","170","Cobalt Riding Talbuk","source_spell","Cobalt Riding Talbuk The orcs once hunted these graceful herd animals as part of the om’riggor rite of passage ceremony. Vendors: Provisional Nasela, Traider Narasu Nagrand, Outland Factions: The Mag’har -Exalted, The Kurenai – Exalted 70 Gold","https://www.wowhead.com/spell=39315/cobalt-riding-talbuk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","spell","34896","153","Cobalt War Talbuk","source_spell","Cobalt War Talbuk Despite their docile nature, talbuks have been known to gore seasoned warriors to death when threatened. Vendors: Provisional Nasela, Traider Narasu Nagrand, Outland Factions: The Mag’har -Exalted The Kurenai – Exalted 100 Gold","https://www.wowhead.com/spell=34896/cobalt-war-talbuk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","spell","39316","171","Dark Riding Talbuk","source_spell","Dark Riding Talbuk The orcs once hunted these graceful herd animals as part of the om’riggor rite of passage ceremony. Vendors: Aldraan (Alliance), Coreiel (Horde) Nagrand, Outland 70 Halaa Battle Tokens and 15 Halaa Research Tokens","https://www.wowhead.com/spell=39316/dark-riding-talbuk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","spell","34790","151","Dark War Talbuk","source_spell","Dark War Talbuk Despite their docile nature, talbuks have been known to gore seasoned warriors to death when threatened. Vendors: Aldraan (Alliance), Coreiel (Horde) Nagrand, Outland 100 Halaa Battle Tokens and 20 Halaa Research Tokens","https://www.wowhead.com/spell=34790/dark-war-talbuk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29744","163","Gray Elekk","item_effect","Gray Elekk Patient and strong, the Elekk exemplify the Draenei attitude towards the hardships of life. Vendor: Torallius the Pack Handler Azuremyst Isle 1 Gold","https://www.wowhead.com/item=29744/gray-elekk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29745","166","Great Blue Elekk","item_effect","Great Blue Elekk An alpha member of the herd, this elekk is a prime example of the mighty creatures which thunder through Northern Nagrand. Vendor: Torallius the Pack Handler Azuremyst Isle 10 Gold","https://www.wowhead.com/item=29745/great-blue-elekk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29746","165","Great Green Elekk","item_effect","Great Green Elekk An alpha member of the herd, this elekk is a prime example of the mighty creatures which tunder through Northern Nagrand. Vendor: Torallius the Pack Handler Azuremyst Isle 10 Gold","https://www.wowhead.com/item=29746/great-green-elekk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29747","167","Great Purple Elekk","item_effect","Great Purple Elekk An alpha member of the herd, this elekk is a prime example of the mighty creatures which thunder through Northern Nagrand. Vendor: Torallius the Pack Handler Azuremyst Isle 10 Gold","https://www.wowhead.com/item=29747/great-purple-elekk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","32314","176","Green Riding Nether Ray","item_effect","Green Riding Nether Ray Nether Rays are among the most trusted, versatile mounts in all the Outland and beyond. Vendor: Grella Terokkar Forest, Outland Faction: Sha’tari Skyguard – Exalted 200 Gold","https://www.wowhead.com/item=32314/green-riding-nether-ray&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","spell","41513","186","Onyx Netherwing Drake","source_spell","Onyx Netherwing Drake After promising to fly you to the ends of Outland, the netherwing drake was eventually drawn to the blue skies of Azeroth as well. Quest: Onyxien the Onyx Netherwing Drake Shattrath City, Outland --","https://www.wowhead.com/spell=41513/onyx-netherwing-drake&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29743","164","Purple Elekk","item_effect","Purple Elekk Patient and strong, the Elekk exemplify the Draenei attitude towards the hardships of life. Vendor: Torallius the Pack Handler Azuremyst Isle 1 Gold","https://www.wowhead.com/item=29743/purple-elekk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29222","157","Purple Hawkstrider","item_effect","Purple Hawkstrider “Some of our brethren prefer horses, but the hawkstrider will always be the true symbol of Silvermoon.” – Winaestra Vendor: Winaestra Eversong Woods 1 Gold","https://www.wowhead.com/item=29222/purple-hawkstrider&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","spell","41516","189","Purple Netherwing Drake","source_spell","Purple Netherwing Drake After promising to fly you to the ends of Outland, the netherwing drake was eventually drawn to the blue skies of Azeroth as well. Quest: Malfas the Purple Netherwing Drake Shattrath City, Outland --","https://www.wowhead.com/spell=41516/purple-netherwing-drake&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","32316","178","Purple Riding Nether Ray","item_effect","Purple Riding Nether Ray Nether Rays are among the most trusted, versatile mounts in all of Outland and beyond. Vendor: Grella Terokkar Forest, Outland Faction: Sha’tari Skyguard – Exalted 200 Gold","https://www.wowhead.com/item=32316/purple-riding-nether-ray&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","28927","152","Red Hawkstrider","item_effect","Red Hawkstrider “Some of our brethren prefer horses, but the hawkstrider will always be the true symbol of Silvermoon.” – Winaestra Vendor: Winaestra Eversong Woods 1 Gold","https://www.wowhead.com/item=28927/red-hawkstrider&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","32317","177","Red Riding Nether Ray","item_effect","Red Riding Nether Ray Nether Rays are among the most trusted, versatile mounts in all of Outlands and beyond. Vendor: Grella Terokkar Forest, Outland 200 Gold","https://www.wowhead.com/item=32317/red-riding-nether-ray&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","32318","179","Silver Riding Nether Ray","item_effect","Silver Riding Nether Ray Nether Rays are among the most trusted, versatile mounts in all of Outland and beyond. Vendor: Grella Terokkar Forest, Outland 200 Gold","https://www.wowhead.com/item=32318/silver-riding-nether-ray&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","spell","34898","155","Silver War Talbuk","source_spell","Silver War Talbuk Despite their docile nature, talbuks have been known to gore seasoned warriors to death when threatened. Vendors: Provisioner Nasela, Trader Narasu Nagrand, Outland Factions: The Mag’har – Exalted The Kurenei – Exalted 100 Gold","https://www.wowhead.com/spell=34898/silver-war-talbuk&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29223","160","Swift Green Hawkstrider","item_effect","Swift Green Hawkstrider “Their plumage is more beautiful than any other. Subtlety is for the birds! I mean… other birds.” -Viera Sunwhisper Vendor: Winaestra Eversong Woods 10 Gold","https://www.wowhead.com/item=29223/swift-green-hawkstrider&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","28936","146","Swift Pink Hawkstrider","item_effect","Swift Pink Hawkstrider “Their plumage is more beautiful than any other. Subtlety is for the birds! I mean… other birds.” -Viera Sunwhisper Vendor: Winaestra Eversong Woods 10 Gold","https://www.wowhead.com/item=28936/swift-pink-hawkstrider&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
"mount","item","29224","161","Swift Purple Hawkstrider","item_effect","Swift Purple Hawkstrider “Their plumage is more beautiful than any other. Subtlety is for the birds! I mean… other birds.” -Viera Sunwhisper Vendor: Winaestra Eversong Woods 10 Gold","https://www.wowhead.com/item=29224/swift-purple-hawkstrider&brl","https://news.blizzard.com/en-us/article/23523203/burning-crusade-mounts-pets-and-more"
