"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url"
"2505","246802","Zangarshroom Patch","tbc_theme","internal_hidden","","vendor","100 Zangarshroom Patch Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/2505/zangarshroom-patch-2505/"
"3908","247771","Zangarmarsh Lamppost","tbc_theme","internal_hidden","","vendor","100 Interior Only Zangarmarsh Lamppost Lighting › Small Lights","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3908/zangarmarsh-lamppost-3908/"
"3909","247772","Small Zangarshroom Patch","tbc_theme","internal_hidden","","vendor","100 Small Zangarshroom Patch Nature › Ground Cover","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3909/small-zangarshroom-patch-3909/"
"3910","247773","Sturdy Zangarshelf","tbc_theme","internal_hidden","","vendor","100 Sturdy Zangarshelf Accents › Wall Hangings","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3910/sturdy-zangarshelf-3910/"
"3911","247774","Orange Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Orange Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3911/orange-zangarmarsh-tree-3911/"
"3912","247775","Glowing Zangarshroom Bowl","tbc_theme","internal_hidden","","vendor","100 Glowing Zangarshroom Bowl Accents › Misc Accents","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3912/glowing-zangarshroom-bowl-3912/"
"3913","247776","Glowing Zangarshroom Cup","tbc_theme","acquisition_midnight_confirmed","midnight","vendor","1 Glowing Zangarshroom Cup Accents › Misc Accents Throska (Razorwind Shores)","","","257168","","","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/3913/glowing-zangarshroom-cup-3913/"
"3914","247777","Blue Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Blue Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3914/blue-zangarmarsh-tree-3914/"
"3915","247778","Green Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Green Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3915/green-zangarmarsh-tree-3915/"
"3916","247779","Purple Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Purple Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3916/purple-zangarmarsh-tree-3916/"
"3917","247780","Withered Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Withered Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3917/withered-zangarmarsh-tree-3917/"
"3918","247781","Glowing Withered Zangarmarsh Tree","tbc_theme","internal_hidden","","vendor","100 Glowing Withered Zangarmarsh Tree Nature › Large Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3918/glowing-withered-zangarmarsh-tree-3918/"
"3919","247782","Pulsing Zangarshroom","tbc_theme","internal_hidden","","vendor","100 Pulsing Zangarshroom Nature › Small Foliage","","","","","","","Hidden or DNT catalog row with no collectible acquisition source","https://housing.wowdb.com/decor/3919/pulsing-zangarshroom-3919/"
