"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"19559","Azj-Kahet","15506","0/0","153820","","64786","27","78392","0","0"
"19559","Azj-Kahet","15506","0/1","153821","","64785","27","78393","0","0"
"19559","Azj-Kahet","15506","1/0","153823","","64787","27","78256","0","0"
"19559","Azj-Kahet","15506","2/0","153825","","64788","27","84022","0","0"
"19560","The Ringing Deeps","15506","0/0","153829","By Candlelight","64791","27","78642","0","0"
"19560","The Ringing Deeps","15506","1/0","153831","Dark Revelations","64792","27","78706","0","0"
"19560","The Ringing Deeps","15506","2/0","153833","The Monster and the Machine","64793","27","81689","0","0"
"20118","The Isle of Dorn","15506","0/0","156246","","66214","27","78536","0","0"
"20118","The Isle of Dorn","15506","1/0","156248","","66215","27","78471","0","0"
"20118","The Isle of Dorn","15506","2/0","156250","","66216","27","78546","0","0"
"20594","Flamegard's Hope","15521","0","157781","","66916","0","222309","20","0"
"20595","Sojourner of Isle of Dorn","15506","0","161669","Spores of Dread","67054","27","78574","0","0"
"20595","Sojourner of Isle of Dorn","15506","1","161670","Behind Closed Doors","67055","27","79530","0","0"
"20595","Sojourner of Isle of Dorn","15506","2","161672","Seven Soldiers","67059","27","78999","0","0"
"20595","Sojourner of Isle of Dorn","15506","3","161673","Lost Lord of the Storm","67066","27","78294","0","0"
"20595","Sojourner of Isle of Dorn","15506","4","161674","Hope, An Anomaly","67074","27","79703","0","0"
"20595","Sojourner of Isle of Dorn","15506","5","161675","The Hermit","67075","27","78759","0","0"
"20595","Sojourner of Isle of Dorn","15506","6","161676","A Titanic Expedition","67085","27","79728","0","0"
"20595","Sojourner of Isle of Dorn","15506","7","161677","Remember Me, Earthen","68162","27","82895","0","0"
"20595","Sojourner of Isle of Dorn","15506","8/0","163374","Brotherhood in the Skolzgal Wood","67056","27","80218","0","0"
"20595","Sojourner of Isle of Dorn","15506","8/1","163375","","68254","27","83181","0","0"
"20595","Sojourner of Isle of Dorn","15506","9","166835","All Ore Nothing","69433","27","82801","0","0"
"20596","Loremaster of Khaz Algar","15506","0","161679","","67093","8","20118","0","0"
"20596","Loremaster of Khaz Algar","15506","1","161680","","67094","8","19560","0","0"
"20596","Loremaster of Khaz Algar","15506","2","161681","","67095","8","20598","0","0"
"20596","Loremaster of Khaz Algar","15506","3","161682","","67096","8","19559","0","0"
"20596","Loremaster of Khaz Algar","15506","4","161683","","67097","8","20595","0","0"
"20596","Loremaster of Khaz Algar","15506","5","168789","","70383","8","40799","0","0"
"20596","Loremaster of Khaz Algar","15506","6","168790","","70384","8","40844","0","0"
"20596","Loremaster of Khaz Algar","15506","7","168791","","70385","8","40636","0","0"
"20597","The War Within","15506","0/0","161486","","66989","27","79344","0","0"
"20597","The War Within","15506","1/0","161488","","66990","27","79157","0","0"
"20597","The War Within","15506","2/0","161490","","66991","27","79244","0","0"
"20597","The War Within","15506","3/0","161492","","66992","27","79030","0","0"
"20597","The War Within","15506","4/0","161494","","66993","27","83503","0","0"
"20598","Hallowfall","15506","0/0","157815","","66935","27","78671","0","0"
"20598","Hallowfall","15506","1/0","157817","","66934","27","78954","0","0"
"20598","Hallowfall","15506","2/0","157819","","66936","27","78630","0","0"
"40082","Never Enough","15506","0","161406","","66967","0","222855","50","0"
"40098","Immortal Spelunker","15531","0","161522","","67012","73","91886","0","0"
"40100","Undying Caver","15531","0","161524","","67013","73","91886","0","0"
"40103","My First Nemesis","15531","0","161512","","67008","0","221427","1","0"
"40103","My First Nemesis","15531","1","163507","","69908","0","225204","1","0"
"40138","Algari Dungeoneer","15524","0","161621","","67052","8","40139","1","0"
"40138","Algari Dungeoneer","15524","1","161622","","67050","8","40140","1","0"
"40138","Algari Dungeoneer","15524","2","161623","","67051","8","40141","1","0"
"40139","Algari Dungeon Damage Dealer","15524","0","161594","The Dawnbreaker","67020","165","2839","0","0"
"40139","Algari Dungeon Damage Dealer","15524","1","161595","Cinderbrew Meadery","67023","165","2930","0","0"
"40139","Algari Dungeon Damage Dealer","15524","2","161596","City of Threads","67044","165","2909","0","0"
"40139","Algari Dungeon Damage Dealer","15524","3","161598","The Stonevault","67026","165","2883","0","0"
"40139","Algari Dungeon Damage Dealer","15524","4","161599","Darkflame Cleft","67029","165","2788","0","0"
"40139","Algari Dungeon Damage Dealer","15524","5","161600","Priory of the Sacred Flame","67038","165","2848","0","0"
"40139","Algari Dungeon Damage Dealer","15524","6","161597","Ara-Kara, City of Echoes","67047","165","2901","0","0"
"40139","Algari Dungeon Damage Dealer","15524","7","161601","The Rookery","67041","165","2836","0","0"
"40140","Algari Dungeon Healer","15524","0","161603","The Dawnbreaker","67021","165","2839","0","0"
"40140","Algari Dungeon Healer","15524","1","161604","Cinderbrew Meadery","67024","165","2930","0","0"
"40140","Algari Dungeon Healer","15524","2","161605","City of Threads","67045","165","2909","0","0"
"40140","Algari Dungeon Healer","15524","3","161606","The Stonevault","67027","165","2883","0","0"
"40140","Algari Dungeon Healer","15524","4","161607","Darkflame Cleft","67030","165","2788","0","0"
"40140","Algari Dungeon Healer","15524","5","161608","Priory of the Sacred Flame","67039","165","2848","0","0"
"40140","Algari Dungeon Healer","15524","6","161609","Ara-Kara, City of Echoes","67048","165","2901","0","0"
"40140","Algari Dungeon Healer","15524","7","161610","The Rookery","67042","165","2836","0","0"
