"status","current_exists","present_final_tww","acquisition_expansion","decor_id","item_id","decor_name","catalog_name","category","source_text","achievement_ids","quest_ids","npc_ids","spell_ids","currency_ids","collection_spell_id","catalog_flags","acquisition_note","acquisition_source_url","item_name","item_expansion_id","flags","type","model_type","weight_cost"
"internal_dnt","True","True",,"12","245399","[DNT] Orgrimmar Interior Wall - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"internal_dnt","True","True",,"13","245420","[DNT] Partition Pillar (WMO) - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"internal_dnt","True","True",,"60","245419","[DNT] Partition Doorway (WMO) - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"snapshot_candidate_needs_source_expansion","True","True",,"80","235994","Ornate Stonework Fireplace",,,,,,,,,,,,,"Ornate Stonework Fireplace","-3","2","1","1","5"
"snapshot_candidate_needs_source_expansion","True","True",,"81","245398","Tusked Fireplace",,,,,,,,,,,,,"Tusked Fireplace","-3","2","1","1","5"
"internal_dnt","True","True",,"83","245391","[DNT] Plain Interior Narrow Wall - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"internal_dnt","True","True",,"84","245389","[DNT] Plain Interior Wall - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"internal_dnt","True","True",,"85","245387","[DNT] Sturdy Wooden Interior Pillar - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"internal_dnt","True","True",,"87","245361","[DNT] Stormwind Interior Pillar - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"internal_dnt","True","True",,"88","245363","[DNT] Stormwind Interior Doorway - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"internal_dnt","True","True",,"89","245362","[DNT] Stormwind Interior Wall - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"internal_dnt","True","True",,"90","245364","[DNT] Stormwind Interior Narrow Wall - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"internal_dnt","True","True",,"91","245390","{DNT] Plain Interior Doorway - DO NOT USE",,,,,,,,,,,,,,,"192","1","2","3"
"snapshot_candidate_needs_source_expansion","True","True",,"126","245275","Rolled Scroll",,,,,,,,,,,,,"Rolled Scroll","-3","3","1","1","1"
"internal_dnt","True","True",,"129","245506","[DNT] Green Book of Runes - DO NOT USE",,,,,,,,,,,,,,,"192","1","1","1"
"snapshot_candidate_needs_source_expansion","True","True",,"373","245375","Sturdy Wooden Bookcase",,,,,,,,,,,,,"Sturdy Wooden Bookcase","-3","3","1","1","5"
"snapshot_candidate_needs_source_expansion","True","True",,"374","245384","Sturdy Wooden Shelf",,,,,,,,,,,,,"Sturdy Wooden Shelf","-3","3","1","1","1"
"snapshot_candidate_needs_source_expansion","True","True",,"377","235675","Three-Candle Wrought Iron Chandelier",,,,,,,,,,,,,"Three-Candle Wrought Iron Chandelier","-3","258","3","1","1"
"snapshot_candidate_needs_source_expansion","True","True",,"378","245355","Sturdy Wooden Interior Door",,,,,,,,,,,,,"Sturdy Wooden Interior Door","-3","3","1","1","3"
"snapshot_candidate_needs_source_expansion","True","True",,"379","245358","Small Fruit Platter",,,,,,,,,,,,,"Small Fruit Platter","-3","3","1","1","1"
"snapshot_candidate_needs_source_expansion","True","True",,"383","235677","Wrought Iron Floor Lamp",,,,,,,,,,,,,"Wrought Iron Floor Lamp","-3","2","1","1","3"
"internal_dnt","True","True",,"387","245373","[DNT] Sturdy Wooden Table - DO NOT USE",,,,,,,,,,,,,,,"192","1","1","3"
"snapshot_candidate_needs_source_expansion","True","True",,"388","245383","""Sunrise Canyon"" Painting",,,,,,,,,,,,,"""Sunrise Canyon"" Painting","-3","2","1","1","1"
"snapshot_candidate_needs_source_expansion","True","True",,"389","245356","Goldshire Window",,,,,,,,,,,,,"Goldshire Window","-3","2","1","1","3"
"snapshot_candidate_needs_source_expansion","True","True",,"390","245376","Tall Sturdy Wooden Bookcase",,,,,,,,,,,,,"Tall Sturdy Wooden Bookcase","-3","3","1","1","5"
"snapshot_candidate_needs_source_expansion","True","True",,"399","245410","Abandoned Bookcase",,,,,,,,,,,,,,,"131","1","1","5"
"snapshot_candidate_needs_source_expansion","True","True",,"478","245354","Wooden Coffin Lid",,,,,,,,,,,,,"Wooden Coffin Lid","-3","3","1","1","3"
"snapshot_candidate_needs_source_expansion","True","True",,"479","245365","Empty Stormwind Market Stand",,,,,,,,,,,,,"Empty Stormwind Market Stand","-3","3","1","1","5"
"snapshot_candidate_needs_source_expansion","True","True",,"480","245366","Stormwind Bean Seller's Stand",,,,,,,,,,,,,"Stormwind Bean Seller's Stand","-3","3","1","1","3"
