"faction_id","name","parent_faction_id","renown_currency_id","friendship_rep_id","flags"
"2569","The War Within","0","0","0","0"
"2570","Hallowfall Arathi","2569","2901","0","4"
"2590","Council of Dornogal","2569","2900","0","4"
"2594","The Assembly of the Deeps","2569","2898","0","6"
"2595","Order of Night","2569","0","0","0"
"2596","The Severed Threads (Paragon)","2569","0","0","6"
"2600","The Severed Threads","2569","2904","0","6"
"2601","The Weaver","2600","0","416","6"
"2602","Umbral Bazaar","2600","0","0","4"
"2605","The General","2600","0","417","6"
"2606","The High Hollows","2600","0","0","4"
"2607","The Vizier","2600","0","418","6"
"2609","The Burrows","2600","0","0","4"
"2610","Azj-Kaheti Nerubian (Always Hostile) (Hidden)","2600","0","0","0"
"2611","Hallowfall Arathi (Paragon)","2569","0","0","6"
"2612","Council of Dornogal (Paragon)","2569","0","0","6"
"2613","The Assembly of the Deeps (Paragon)","2569","0","0","6"
"2614","The Siegehold","2600","0","0","0"
"2635","The Skeins","2600","0","0","4"
"2644","Delves: Season 1","2569","3022","0","70"
"2653","The Cartels of Undermine","2569","3120","0","6"
"2657","11.2 Ethereum","2569","0","0","0"
"2658","The K'aresh Trust","2569","3128","0","6"
"2669","Darkfuse Solutions","2653","0","0","6"
"2671","Venture Company","2653","0","0","6"
"2673","Bilgewater Cartel","2653","0","0","6"
"2675","Blackwater Cartel","2653","0","0","6"
"2677","Steamwheedle Cartel","2653","0","0","6"
"2683","Delves: Season 2","2569","3130","0","70"
"2684","Gallagio Loyalty Rewards Club (Paragon)","2653","0","0","6"
"2685","Gallagio Loyalty Rewards Club","2653","3315","0","38"
"2688","Flame's Radiance","2569","3140","0","6"
"2689","Flame's Radiance (Paragon)","2569","0","0","6"
"2693","Delver's Journey (Season 1)","2569","0","0","70"
"2722","Delves: Season 3","2569","3271","0","70"
"2736","Manaforge Vandals","2569","3305","0","6"
