"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_ids"
"40435","Adventurer of the Isle of Dorn","0","163304","Rustul Titancap","68210","0","213115","213115"
"40435","Adventurer of the Isle of Dorn","1","163305","Sandres the Relicbearer","68211","0","217534","217534"
"40435","Adventurer of the Isle of Dorn","10","163314","Kronolith, Might of the Mountain","68220","0","219270","219270"
"40435","Adventurer of the Isle of Dorn","11","163315","Shallowshell the Clacker","68221","0","219278","219278"
"40435","Adventurer of the Isle of Dorn","12","163316","Twice-Stinger the Wretched","68222","0","219271","219271"
"40435","Adventurer of the Isle of Dorn","13","163317","Flamekeeper Graz","68223","0","219279","219279"
"40435","Adventurer of the Isle of Dorn","14","163318","Clawbreaker K'zithix","68224","0","221128","221128"
"40435","Adventurer of the Isle of Dorn","15","163319","Alunira","68225","0","219281","219281"
"40435","Adventurer of the Isle of Dorn","16","163320","Zovex","68226","0","219284","219284"
"40435","Adventurer of the Isle of Dorn","17","163321","Kereke","68227","0","222378","222378"
"40435","Adventurer of the Isle of Dorn","18","163322","Rotfist","68228","0","222380","222380"
"40435","Adventurer of the Isle of Dorn","19","163323","Tephratennae","68229","0","221126","221126"
"40435","Adventurer of the Isle of Dorn","2","163306","Springbubble","68212","0","219262","219262"
"40435","Adventurer of the Isle of Dorn","20","163324","Sweetspark the Oozeful","68230","0","220883","220883"
"40435","Adventurer of the Isle of Dorn","21","163325","Matriarch Charfuria","68231","0","220890","220890"
"40435","Adventurer of the Isle of Dorn","3","163307","Warphorn","68213","0","219263","219263"
"40435","Adventurer of the Isle of Dorn","4","163308","Bloodmaw","68214","0","219264","219264"
"40435","Adventurer of the Isle of Dorn","5","163309","Emperor Pitfang","68215","0","219265","219265"
"40435","Adventurer of the Isle of Dorn","6","163310","Plaguehart","68216","0","219267","219267"
"40435","Adventurer of the Isle of Dorn","7","163311","Gar'loc","68217","0","219268","219268"
"40435","Adventurer of the Isle of Dorn","8","163312","Escaped Cutthroat","68218","0","219266","219266"
"40435","Adventurer of the Isle of Dorn","9","163313","Tempest Lord Incarnus","68219","0","219269","219269"
"40837","Adventurer of The Ringing Deeps","0","167683","Candleflyer Captain","69623","0","220276","220276"
"40837","Adventurer of The Ringing Deeps","1","167684","King Splash","69624","0","220275","220275"
"40837","Adventurer of The Ringing Deeps","10","167693","Coalesced Monstrosity","69633","0","220266","220266"
"40837","Adventurer of The Ringing Deeps","11","167694","Automaxor","69634","0","220265","220265"
"40837","Adventurer of The Ringing Deeps","12","167695","Kelpmire","69635","0","220287","220287"
"40837","Adventurer of The Ringing Deeps","13","167696","Deepflayer Broodmother","69636","0","220286","220286"
"40837","Adventurer of The Ringing Deeps","14","167697","Lurker of the Deeps","69637","0","220285","220285"
"40837","Adventurer of The Ringing Deeps","15","167698","Spore-Infused Shalewing","69638","0","221217","221217"
"40837","Adventurer of The Ringing Deeps","16","167699","Hungerer of the Deeps","69639","0","221199","221199"
"40837","Adventurer of The Ringing Deeps","17","167700","Disturbed Earthgorger","69640","0","218393","218393"
"40837","Adventurer of The Ringing Deeps","2","167685","Aquellion","69625","0","220274","220274"
"40837","Adventurer of The Ringing Deeps","3","167686","Rampaging Blight","69626","0","220273","220273"
"40837","Adventurer of The Ringing Deeps","4","167687","Deathbound Husk","69627","0","220272","220272"
"40837","Adventurer of The Ringing Deeps","5","167688","Terror of the Forge","69628","0","220271","220271"
"40837","Adventurer of The Ringing Deeps","6","167689","Zilthara","69629","0","220270","220270"
"40837","Adventurer of The Ringing Deeps","7","167690","Cragmund","69630","0","220269","220269"
"40837","Adventurer of The Ringing Deeps","8","167691","Trungal","69631","0","220268","220268"
"40837","Adventurer of The Ringing Deeps","9","167692","Charmonger","69632","0","220267","220267"
"40840","Adventurer of Azj-Kahet","0","167715","Abyssal Devourer","69651","27","81695","216031"
