"achievement_id","achievement","order_path","tree_id","treasure","criteria_id","criteria_type","criteria_asset","amount"
"40434","Treasures of the Isle of Dorn","0","163291","Tree's Treasure","68197","27","83242","1"
"40434","Treasures of the Isle of Dorn","1","163292","Turtle's Thanks","68198","27","82716","1"
"40434","Treasures of the Isle of Dorn","10","163301","Infused Cinderbrew","68208","27","82714","1"
"40434","Treasures of the Isle of Dorn","11","163302","Web-Wrapped Axe","68209","27","82715","1"
"40434","Treasures of the Isle of Dorn","2","163293","Magical Treasure Chest","68199","27","83243","1"
"40434","Treasures of the Isle of Dorn","3","163294","Mysterious Orb","68201","27","83244","1"
"40434","Treasures of the Isle of Dorn","4","163295","Mushroom Cap","68202","27","83245","1"
"40434","Treasures of the Isle of Dorn","5","163296","Thak's Treasure","68203","27","82246","1"
"40434","Treasures of the Isle of Dorn","6","163297","Mosswool Flower","68204","27","83246","1"
"40434","Treasures of the Isle of Dorn","7","163298","Kobold Pickaxe","68205","27","82325","1"
"40434","Treasures of the Isle of Dorn","8","163299","Jade Pearl","68206","27","82287","1"
"40434","Treasures of the Isle of Dorn","9","163300","Shimmering Opal Lily","68207","27","82326","1"
"40724","Treasures of The Ringing Deeps","0","166438","Webbed Knapsack","69280","27","79308","1"
"40724","Treasures of The Ringing Deeps","1","166439","Cursed Pickaxe","69281","27","82230","1"
"40724","Treasures of The Ringing Deeps","2","166440","Munderut's Forgotten Stash","69282","27","82235","1"
"40724","Treasures of The Ringing Deeps","3","166441","Discarded Toolbox","69283","27","82239","1"
"40724","Treasures of The Ringing Deeps","4","166442","Waterlogged Refuse","69304","27","83030","1"
"40724","Treasures of The Ringing Deeps","5","166443","Scary Dark Chest","69307","27","82818","1"
"40724","Treasures of The Ringing Deeps","6","166445","Kaja'Cola Machine","69308","27","82819","1"
"40724","Treasures of The Ringing Deeps","7","166450","Dislodged Blockage","69311","27","82820","1"
"40724","Treasures of The Ringing Deeps","8","166451","Dusty Prospector's Chest","69312","27","82464","1"
"40724","Treasures of The Ringing Deeps","9","166452","Forgotten Treasure","69313","27","80485","1"
"40828","Treasures of Azj-Kahet","0","167657","Concealed Contraband","70381","27","82525","0"
"40828","Treasures of Azj-Kahet","1","167705","Memory Cache","69615","27","82520","0"
"40828","Treasures of Azj-Kahet","2","167706","Weaving Supplies","69643","27","82527","0"
"40828","Treasures of Azj-Kahet","3","167707","Trapped Trove","69644","27","82727","0"
"40828","Treasures of Azj-Kahet","4","167708","Nest Egg","69645","27","82529","0"
"40828","Treasures of Azj-Kahet","5","167709","Disturbed Soil","69646","27","82718","0"
"40828","Treasures of Azj-Kahet","6","167710","Silk-spun Supplies","69647","27","82719","0"
"40828","Treasures of Azj-Kahet","7","167711","Nerubian Offerings","69648","27","82720","0"
"40828","Treasures of Azj-Kahet","8","167712","Niffen Stash","69649","27","82721","0"
"40828","Treasures of Azj-Kahet","9","167713","Missing Scout's Pack","69650","27","82722","0"
"40848","Treasures of Hallowfall","0","167774","Caesper","69692","27","83263","0"
"40848","Treasures of Hallowfall","1","167775","Smuggler's Treasure","69693","27","83273","0"
"40848","Treasures of Hallowfall","10","167784","Spore-covered Coffer","69702","27","79275","0"
"40848","Treasures of Hallowfall","2","167776","Dark Ritual","69694","27","83284","0"
"40848","Treasures of Hallowfall","3","167777","Arathi Loremaster","69695","27","83298","0"
"40848","Treasures of Hallowfall","4","167778","Illusive Kobyss Lure","69696","27","83299","0"
"40848","Treasures of Hallowfall","5","167779","Jewel of the Cliffs","69697","27","81971","0"
"40848","Treasures of Hallowfall","6","167780","Priory Satchel","69698","27","81972","0"
"40848","Treasures of Hallowfall","7","167781","Lost Necklace","69699","27","81978","0"
"40848","Treasures of Hallowfall","8","167782","Sky-Captains' Sunken Cache","69700","27","82005","0"
"40848","Treasures of Hallowfall","9","167783","Illuminated Footlocker","69701","27","81468","0"
"41131","Treasures of the Storm","0","170143","Runed Storm Caches","71164","0","234156","10"
"41217","Treasures of Undermine","0","205828","Unexploded Fireworks","71613","27","85683","1"
"41217","Treasures of Undermine","1","205829","Suspicious Book","71624","27","85868","1"
"41217","Treasures of Undermine","10","205858","Particularly Nice Lamp","71631","27","85492","1"
