"status","current_exists","present_final_tww","acquisition_expansion","decor_id","item_id","decor_name","catalog_name","category","source_text","achievement_ids","quest_ids","npc_ids","spell_ids","currency_ids","collection_spell_id","catalog_flags","acquisition_note","acquisition_source_url","item_name","item_expansion_id","flags","type","model_type","weight_cost"
"acquisition_tww_confirmed","True","True","tww","759","239170","Dornic Mine and Cheese Platter","Dornic Mine and Cheese Platter","Accents › Food and Drink","Crafting: Cooking Profession: Khaz Algar Cooking (80)","","","","1245993","",,,,,"Dornic Mine and Cheese Platter","10","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","760","245295","Literature of Dornogal","Literature of Dornogal","Accents › Ornamental","Auditor Balwurz (Dornogal) 1000 Resonance Crystals","","","223728","","2815",,,,,"Literature of Dornogal","-3","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","761","245296","Literature of Taelloch","Literature of Taelloch","Accents › Ornamental","Auditor Balwurz (Dornogal) 1000 Resonance Crystals","","","223728","","2815",,,,,"Literature of Taelloch","-3","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","762","245297","Literature of Gundargaz","Literature of Gundargaz","Accents › Ornamental","Auditor Balwurz (Dornogal) 1000 Resonance Crystals","","","223728","","2815",,,,,"Literature of Gundargaz","-3","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","763","245293","Collection of Arathi Scripture","Collection of Arathi Scripture","Accents › Ornamental","Lars Bronsmaelt (Hallowfall) 1200 Resonance Crystals","","","240852","","2815",,,,,"Collection of Arathi Scripture","-3","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","764","245294","Councilward's Jeweled Goblet","Councilward's Jeweled Goblet","Accents › Food and Drink","Drop: Theater Troupe event chest (Isle of Dorn)","","","","","",,,,,"Councilward's Jeweled Goblet","-3","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","765","245326","Kaheti Predator's Assortment","Kaheti Predator's Assortment","Accents › Food and Drink","Crafting: Cooking Profession: Khaz Algar Cooking (80)","","","","1266541","",,,,,"Kaheti Predator's Assortment","10","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","767","245332","Tome of Silvermoon Intrigue","Tome of Silvermoon Intrigue","Accents › Ornamental","Lorewalking: The Elves of Quel'Thalas Lali the Assistant (Vale of Eternal Blossoms) 2000","61467","","62088","","",,,,,"Tome of Silvermoon Intrigue","-3","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","825","245306","Cozy Four-Pipe Bed","Cozy Four-Pipe Bed","Furnishings › Beds","My Hole in the Wall (Undermine) Stacks Topskimmer (Undermine) 1200 Resonance Crystals","","86408","251911","","2815",,,,,"Cozy Four-Pipe Bed","-3","3","1","1","5"
"acquisition_tww_confirmed","True","True","tww","827","245303","Rocket-Unpowered Rocket","Rocket-Unpowered Rocket","Miscellaneous › Miscellaneous - All","Right Where We Want Him (Undermine) Stacks Topskimmer (Undermine) 800 Resonance Crystals","","85780","251911","","2815",,,,,"Rocket-Unpowered Rocket","-3","3","1","1","3"
"acquisition_tww_confirmed","True","True","tww","828","239213","Well-Lit Incontinental Loveseat","Well-Lit Incontinental Loveseat","Furnishings › Seating","Ando the Gat (Liberation of Undermine)","","","235621","","",,,,,"Well-Lit Incontinental Loveseat","-3","3","1","1","3"
"acquisition_tww_confirmed","True","True","tww","829","239214","Well-Lit Incontinental Couch","Well-Lit Incontinental Couch","Furnishings › Seating","Crafting: Leatherworking Profession: Khaz Algar Leatherworking (80)","","","","1270836","",,,,,"Well-Lit Incontinental Couch","10","3","1","1","3"
"acquisition_tww_confirmed","True","True","tww","1121","245302","Gallagio L.U.C.K. Spinner","Gallagio L.U.C.K. Spinner","Accents › Ornamental","One Rank Higher Ando the Gat (Liberation of Undermine)","41119","","235621","","",,,,,"Gallagio L.U.C.K. Spinner","-3","3","1","1","5"
"acquisition_tww_confirmed","True","True","tww","1257","245314","Undermine Round Table","Undermine Round Table","Furnishings › Tables and Desks","Smaks Topskimmer (Undermine) 650 Resonance Crystals Stacks Topskimmer (Undermine) 850 Resonance Crystals","","","231409;251911","","2815",,,,,"Undermine Round Table","-3","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","1258","243312","Undermine Rectangular Table","Undermine Rectangular Table","Furnishings › Tables and Desks","Smaks Topskimmer (Undermine) 700 Resonance Crystals Stacks Topskimmer (Undermine) 900 Resonance Crystals","","","231409;251911","","2815",,,,,"Undermine Rectangular Table","-3","3","1","1","3"
"acquisition_tww_confirmed","True","True","tww","1259","245313","Spring-Powered Undermine Chair","Spring-Powered Undermine Chair","Furnishings › Seating","Rocco Razzboom (Undermine) 450 Resonance Crystals","","","231406","","2815",,,,,"Spring-Powered Undermine Chair","-3","3","1","1","1"
"acquisition_tww_confirmed","True","True","tww","1260","245312","Rusting Bolted Bench","Rusting Bolted Bench","Furnishings › Seating","Crafting: Blacksmithing Profession: Khaz Algar Blacksmithing (80)","","","","1259675","",,,,,"Rusting Bolted Bench","10","3","1","1","3"
"acquisition_tww_confirmed","True","True","tww","1261","245320","Very Reliable Undermine Lamppost","Very Reliable Undermine Lamppost","Lighting › Large Lights","Drop: Undermine Jobs","","","","","",,,,,"Very Reliable Undermine Lamppost","-3","3","1","1","3"
