"status","release_decision","current_exists","mount_id","name","source_spell_id","item_ids","item_expansion_ids","source_type_enum","flags","source_text","inclusion_reason"
"guide_confirmed","include_tww","True","1277","Honeyback Hivemother","303767","170070","","-1","0","|cFFFFD200Achievement:|r I'm On Island Time |n|cFFFFD200Category:|r Exploration","tww_guide_confirmed"
"guide_confirmed","include_tww","True","1482","Xy Trustee's Gearglider","353264","186639","8","-1","0","|cFFFFD200Source: |r[REDACTED]","tww_guide_confirmed"
"guide_confirmed","include_tww","True","1483","Vandal's Gearglider","353265","186640","8","1","0","|cFFFFD200Faction: |rManaforge Vandals|n|cFFFFD200Renown: |r8|n|cFFFFD200Location: |rShadow Point","tww_guide_confirmed"
"guide_confirmed","include_tww","True","1943","Incognitro, the Indecipherable Felcycle","428013","229348","-3","6","64","|cFFFFD200World Event:|r WoW's 20th Anniversary?|n","tww_guide_confirmed"
"guide_confirmed","include_tww","True","1948","Voidfire Deathcycle","428068","211089","9","2","0","|cFFFFD200Zone:|r Vision of Stormwind (Revisited) |n|cFFFFD200Zone:|r Vision of Orgrimmar (Revisited) ","tww_guide_confirmed"
"guide_confirmed","include_tww","True","2116","Remembered Golden Gryphon","441324","217985","-3","2","132","|cFFFFD200Vendor: |rRemembrancer Amuul|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r25|Hitem:211409|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h","tww_guide_confirmed"
"guide_confirmed","include_tww","True","2117","Remembered Wind Rider","441325","217987","-3","2","132","|cFFFFD200Vendor: |rRemembrancer Amuul|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r25|Hitem:211409|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h","tww_guide_confirmed"
"guide_confirmed","include_tww","True","2119","Stonevault Mechsuit","442358","221765","10","1","0","|cFFFFD200Quest: |rRepurposed, Restored|n|cFFFFD200Zone: |rThe Ringing Deeps","tww_guide_confirmed"
"guide_confirmed","include_tww","True","2144","Delver's Dirigible","446052","219391","10","1","512","|cFFFFD200Quest:|r Ship It!|n|cFFFFD200Zone:|r Isle of Dorn","tww_guide_confirmed"
"guide_confirmed","include_tww","True","2148","Smoldering Cinderbee","447057","221753","10","2","0","|cFFFFD200Vendor: |rAuditor Balwurz|n|cFFFFD200Zone: |rDornogal|n|cFFFFD200Cost: |r11375|Hcurrency:2815|h|TInterface\ICONS\SPELL_AZERITE_ESSENCE14.BLP:0|t|h","tww_guide_confirmed"
"guide_confirmed","include_tww","True","2150","Vicious Skyflayer","447405","221813","10","2","4","|cFFFFD200PvP:|r The War Within: Season 1|nRated Arena and Rated Battleground Season Reward","tww_guide_confirmed"
"guide_confirmed","include_tww","True","2158","Crowd Pummeler 2-30","448186","221967;223268","10","3","0","|cFFFFD200Profession: |rKhaz Algar Engineering","tww_guide_confirmed"
