"status","release_decision","current_exists","species_id","name","creature_id","summon_spell_id","item_ids","item_expansion_ids","pet_type_enum","flags","source_type_enum","source_text","audited_release_expansion","audited_source_content_expansion","audit_source_url","inclusion_reason"
"guide_confirmed","include_tww","True","3245","Helpful Workshop Bot","185425","367189","241193","-3","9","2","6","|cFFFFD200World Event:|r Children's Week",,,,"tww_guide_confirmed"
"snapshot_candidate","include_tww","True","4450","Remembered Riverpaw","220420","441643","218086","-3","5","82","2","|cFFFFD200Vendor: |rRemembrancer Amuul|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h|n|n|cFFFFD200Vendor: |rMemory of a Duke|n|cFFFFD200Zone: |rSearing Gorge|n|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h",,,,"tww_era_event_triage_approved"
"snapshot_candidate","include_tww","True","4451","Remembered Construct","220675","442327","218245","-3","5","82","2","|cFFFFD200Vendor: |rRemembrancer Amuul|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h|n|n|cFFFFD200Vendor: |rEcho of the Silver Hand|n|cFFFFD200Zone: |rDragonblight|n|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h",,,,"tww_era_event_triage_approved"
"snapshot_candidate","include_tww","True","4452","Remembered Spawn","220680","442337","218246","-3","5","82","2","|cFFFFD200Vendor: |rRemembrancer Amuul
|cFFFFD200Zone: |rDalaran
|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h

|cFFFFD200Vendor: |rForgotten Hero
|cFFFFD200Zone: |rDustwallow Marsh
|cFFFFD200Cost: |r10000|Hcurrency:3089|h|TInterface\ICONS\Spell_Azerite_Essence_15.BLP:0|t|h",,,,"tww_era_event_triage_approved"
"guide_confirmed","include_tww","True","4455","Rak-Ush Threadling","222046","446820","221486","10","7","2","2","|cFFFFD200Vendor: |rVes'trak|n|cFFFFD200Zone: |rAzj-Kahet|n|cFFFFD200Cost: |r2250|Hcurrency:3056|h|TInterface\ICONS\INV_10_Tailoring_SilkRare_Color3.BLP:0|t|h",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4456","Arachnoid Hatchling","222066","445486","","","7","26","4","|cFFFFD200Pet Battle: |rAzj-Kahet, City of Threads, Hallowfall, Shadowvein Extraction Site, The Ringing Deeps|n",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4457","Chitin Burrower","222071","445450","","","7","26","4","|cFFFFD200Pet Battle: |rAzj-Kahet, City of Threads, Hallowfall, Shadowvein Extraction Site, The Ringing Deeps",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4458","Illskitter","222069","445488","221195","10","7","34","0","|cFFFFD200Drop:|r |n",,,,"tww_guide_confirmed"
"db2_tww_signal","include_tww","True","4459","Moss Skipper","222081","445493","221492","10","8","34","-1","",,,,"tww_db2_signal_triage_approved"
"guide_confirmed","include_tww","True","4460","Arathi Chicken","222195","445803","","","2","26","4","|cFFFFD200Pet Battle: |rHallowfall",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4461","Greenlands Chicken","222194","445815","","","2","26","4","|cFFFFD200Pet Battle: |rHallowfall",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4462","Thunder","222203","445822","220782","10","7","18","1","|cFFFFD200Quest: |rTale of Tails|n|cFFFFD200Zone: |rHallowfall",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4463","Tiberius","222200","445823","221848","10","7","2","2","|cFFFFD200Vendor: |rAuralia Steelstrike|n|cFFFFD200Zone: |rHallowfall|n|cFFFFD200Cost: |r6500|Hcurrency:2815|h|TInterface\ICONS\SPELL_AZERITE_ESSENCE14.BLP:0|t|h",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4464","Bean","222202","445824","221850","10","7","2","2","|cFFFFD200Vendor: |rPelefien|n|cFFFFD200Zone: |rCity of Threads|n|cFFFFD200Cost: |r2250|Hcurrency:3056|h|TInterface\ICONS\INV_10_Tailoring_SilkRare_Color3.BLP:0|t|h",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4465","Vanilla","222201","445826","221849","10","7","2","1","|cFFFFD200Quest:|r Save Tomothy|n|cFFFFD200Zone: |rHallowfall",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4466","Argos","222204","445828","221851","-3","7","2","6","|cFFFFD200World Event:|r Children's Week|n",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4467","Hallowed Glowfly","222298","446004","220771","10","2","18","0","|cFFFFD200Gather: |rHallowfall Sparkfly|n|cFFFFD200Zone: |rHallowfall",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4469","Bop","222318","446024","223155","10","2","2","0","|cFFFFD200Drop: |rGoldie Baronbottom|n|cFFFFD200Zone: |rCinderbrew Meadery",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4470","Oop'lajax","222319","446027","224439","10","8","2","0","|cFFFFD200Treasure: |rScary Dark Chest|n|cFFFFD200Zone: |rThe Ringing Deeps",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4471","Aubergine Scootlefish","222325","446030","","","8","26","4","|cFFFFD200Pet Battle: |rAzj-Kahet",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4472","Shadowbog Hopper","222326","446031","221819","10","8","2","0","|cFFFFD200Treasure:|r Shadowrooted Vine|n|cFFFFD200Zone: |rHallowfall",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4473","Spinner","222339","446046","222966","10","3","2","0","|cFFFFD200Treasure: |rTrapped Trove|n|cFFFFD200Zone: |rCity of Threads",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4474","Anub'Rekyute","222340","446047","222969","10","3","16386","-1","",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4476","Itchbite","222341","446049","222968","10","3","2","2","|cFFFFD200Vendor: |rClutchmother Marn'tiq|n|cFFFFD200Zone: |rCity of Threads|n|cFFFFD200Cost: |r2250|Hcurrency:3056|h|TInterface\ICONS\INV_10_Tailoring_SilkRare_Color3.BLP:0|t|h",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4477","Verdant Scootlefish","222344","446050","","","8","26","4","|cFFFFD200Pet Battle: |rAzj-Kahet",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4478","Caustic Oozeling","222348","446055","","","5","34","2","|cFFFFD200Vendor:|r |n",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4480","Shadowy Oozeling","222351","446057","","","5","26","4","|cFFFFD200Pet Battle: |rAzj-Kahet",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4481","Voidling Ooze","222354","446058","","","5","26","4","|cFFFFD200Pet Battle: |rAzj-Kahet",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4482","Writhing Transmutagen","222359","446059","223487","10","5","2","10","|cFFFFD200Discovery:|r Khaz Algar Thaumaturgy|n",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4483","Vile Bloodtick","222421","446115","","","4","26","4","|cFFFFD200Pet Battle: |rAzj-Kahet",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4484","Frenzied Bloodtick","222420","446119","221762","10","4","26","4","|cFFFFD200Pet Battle: |rThe Ringing Deeps",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4485","Mossy Snail","222499","446247","","","4","26","4","|cFFFFD200Pet Battle: |rIsle of Dorn",,,,"tww_guide_confirmed"
"guide_confirmed","include_tww","True","4489","Bouncer","222532","446434","222971","10","7","2","0","|cFFFFD200Drop:|r Nerubian Delve's Heavy Trunk",,,,"tww_guide_confirmed"
"db2_tww_signal","include_tww","True","4490","Fuzzy","222574","446435","222970;232642","10","7","82","5","|cFFFFD200Achievement:|r Family Battler of Khaz Algar|n|cFFFFD200Category:|r Battle",,,,"tww_db2_signal_triage_approved"
