"status","release_decision","current_exists","toy_id","item_id","name","item_expansion_id","source_type_enum","flags","source_text","inclusion_reason"
"item_expansion_confirmed","include_tww","True","1449","211931","Abyss Caller Horn","10","2","4","|cFFFFD200Vendor: |rSir Finley Mrgglton|n|cFFFFD200Zone: |rDornogal|n|cFFFFD200Cost: |r500|Hcurrency:2803|h|TInterface\ICONS\INV_Misc_ElvenCoins.blp:0|t|h","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1458","215145","Remembrance Stone","10","3","0","|cFFFFD200Profession:|r Khaz Algar Jewelcrafting|n","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1457","215147","Beautification Iris","10","3","0","|cFFFFD200Profession:|r Khaz Algar Jewelcrafting|n","tww_item_expansion_confirmed"
"snapshot_candidate","include_tww","True","1533","218308","Winter Veil Cracker","-3","-1","2","|cFFFFD200World Event: |rFeast of Winter Veil","tww_era_event_triage_approved"
"snapshot_candidate","include_tww","True","1473","218310","Box of Puntables","-3","-1","2","|cFFFFD200World Event: |rFeast of Winter Veil","tww_era_event_triage_approved"
"item_expansion_confirmed","include_tww","True","1477","219387","Barrel of Fireworks","10","3","0","|cFFFFD200Profession: |rKhaz Algar Engineering","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1488","219403","Stonebound Lantern","10","-1","0","|cFFFFD200Profession: |rKhaz Algar Engineering","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1485","221962","Defective Escape Pod","10","-1","2","|cFFFFD200Profession: |rKhaz Algar Engineering","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1494","221964","Filmless Camera","10","-1","0","|cFFFFD200Profession: |rKhaz Algar Engineering","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1478","221966","Wormhole Generator: Khaz Algar","10","-1","2","|cFFFFD200Profession: |rKhaz Algar Engineering","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1480","223312","Trusty Hat","10","0","4","|cFFFFD200Drop:|r Delver's Journey|n","tww_item_expansion_confirmed"
"snapshot_candidate","include_tww","True","1482","224192","Practice Ravager","0","2","0","|cFFFFD200Vendor: |rBobadormu|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r200|Hcurrency:1166|h|TInterface\ICONS\PVECurrency-Justice.blp:0|t|h|n|n|cFFFFD200Vendor: |rGrannadormu|n|cFFFFD200Zone: |rTanaris|n|cFFFFD200Cost: |r200|Hcurrency:1166|h|TInterface\ICONS\PVECurrency-Justice.blp:0|t|h","tww_era_event_triage_approved"
"item_expansion_confirmed","include_tww","True","1483","224251","Memory Chord","10","5","0","|cFFFFD200Achievement:|r Memories of a World Soul|n","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1486","224552","Cave Spelunker's Torch","10","0","0","|cFFFFD200Treasure: |rIlluminated Footlocker|n|cFFFFD200Zone: |rHallowfall","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1487","224554","Silver Linin' Scepter","10","0","0","|cFFFFD200Treasure: |rSunken Cache|n|cFFFFD200Zone: |rHallowfall","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1489","224585","Hanna's Locket","10","0","0","|cFFFFD200Treasure:|r Tree's Treasure|n|cFFFFD200Zone:|r Khaz Algar|n","tww_item_expansion_confirmed"
"item_expansion_confirmed","include_tww","True","1490","224643","Pet-Sized Candle","10","-1","0","","tww_item_expansion_confirmed"
