decor_id,catalog_name,item_id,collection_spell_id,catalog_flags,requires_midnight,expansion_tag,added_build,acquisition_status,source_type,source_ids,source_note,source_url
592,Algari Lettuce Plant,245301,1238400,EXTERIOR HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/592/algari-lettuce-plant-592/
1264,Rust-Plated Storage Crate,245322,1238422,EXTERIOR HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/1264/rust-plated-storage-crate-1264/
1459,Tiny String of Schmancy Goblin Lights,244669,1237799,HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/1459/tiny-string-of-schmancy-goblin-lights-1459/
1460,Small String of Schmancy Goblin Lights,244670,1237800,HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/1460/small-string-of-schmancy-goblin-lights-1460/
1461,Drooping String of Schmancy Goblin Lights,244671,1237801,HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/1461/drooping-string-of-schmancy-goblin-lights-1461/
1462,Very Long String of Schmancy Goblin Lights,244672,1237802,HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/1462/very-long-string-of-schmancy-goblin-lights-1462/
1463,Long String of Schmancy Goblin Lights,244673,1237803,HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/1463/long-string-of-schmancy-goblin-lights-1463/
3889,Earthcrawl Mine Cart,247749,1245234,EXTERIOR HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/3889/earthcrawl-mine-cart-3889/
4178,Non-Fatal One-Armed Bandit,248122,1246286,EXTERIOR HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/4178/non-fatal-one-armed-bandit-4178/
10913,Champion Brawler's Gloves,255840,1259617,EXTERIOR INTERIOR,Non-Midnight,The War Within,11.2.7.64632,acquisition_tww_confirmed,vendor,npc:145695;npc:151941;npc:68364;npc:68363,Brawler's Guild season 5 rank 7 reward; costs 8000 gold,https://housing.wowdb.com/decor/10913/champion-brawlers-gloves-10913/
11488,"""Portrait of the Artist as a Young Goblin"" Painting",257398,1261517,EXTERIOR HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/11488/portrait-of-the-artist-as-a-young-goblin-painting-11488/
11707,"""That Thing What You've Always Needed"" Advertisement",257597,1261767,EXTERIOR HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/11707/that-thing-what-youve-always-needed-advertisement-11707/
11950,Naakroan Brazier,258318,1263150,EXTERIOR HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/11950/naakroan-brazier-11950/
11951,Shadowguard Collection Pylon,258319,1263151,EXTERIOR HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/11951/shadowguard-collection-pylon-11951/
11953,Shadowguard Energy Siphon,258322,1263153,EXTERIOR HIDDENINCATALOG INTERIOR,Non-Midnight,The War Within,11.2.7.64632,catalog_hidden_unobtainable,,,No acquisition source; live item page flags HIDDENINCATALOG,https://housing.wowdb.com/decor/11953/shadowguard-energy-siphon-11953/
11952,K'areshi Protectorate Portal,258320,1263152,EXTERIOR INTERIOR,Non-Midnight,Legion,11.2.7.64632,acquisition_tww_confirmed,vendor;currency,npc:235252;currency:2815,K'aresh vendor purchase for 1000 Resonance Crystals; acquisition is TWW despite the Legion theme tag,https://housing.wowdb.com/decor/11952/kareshi-protectorate-portal-11952/
14359,Cartel Collector's Cage,260582,1266582,EXTERIOR INTERIOR,Non-Midnight,Shadowlands,11.2.7.64632,acquisition_tww_confirmed,quest;vendor;currency,quest:86820;npc:235314;currency:2815,K'aresh quest and vendor purchase for 500 Resonance Crystals; acquisition is TWW despite the Shadowlands theme tag,https://housing.wowdb.com/decor/14359/cartel-collectors-cage-14359/
