decor_id,catalog_name
592,"Algari Lettuce Plant"
759,"Dornic Mine and Cheese Platter"
760,"Literature of Dornogal"
761,"Literature of Taelloch"
762,"Literature of Gundargaz"
763,"Collection of Arathi Scripture"
764,"Councilward's Jeweled Goblet"
765,"Kaheti Predator's Assortment"
767,"Tome of Silvermoon Intrigue"
825,"Cozy Four-Pipe Bed"
826,"[DNT] Relaxing Goblin Beach Chair with Cup Gripper - DO NOT USE - new asset"
827,"Rocket-Unpowered Rocket"
828,"Well-Lit Incontinental Loveseat"
829,"Well-Lit Incontinental Couch"
1121,"Gallagio L.U.C.K. Spinner"
1257,"Undermine Round Table"
1258,"Undermine Rectangular Table"
1259,"Spring-Powered Undermine Chair"
1260,"Rusting Bolted Bench"
1261,"Very Reliable Undermine Lamppost"
1262,"Undermine Fencepost"
1263,"Undermine Fence"
1264,"Rust-Plated Storage Crate"
1265,"Rust-Plated Storage Barrel"
1266,"Undermine Market Stall"
1267,"Cartel Head's Schmancy Desk"
1268,"Undermine Bookcase"
1269,"Undermine Wall Shelf"
1270,"Shredderwheel Storage Chest"
1271,"Rocket-Powered Fountain"
1272,"Trashfire Barrel"
1273,"Zhevra-Stripe Rug"
1274,"""Elegant"" Lawn Flamingo"
1275,"Undermine Bean Bag Chair"
1276,"Reinforced Goblin Umbrella"
1277,"Rusty Patchwork Tub"
1279,"[DNT] Spring-Powered Pointer - DO NOT USE - new asset coming"
1459,"Tiny String of Schmancy Goblin Lights"
1460,"Small String of Schmancy Goblin Lights"
1461,"Drooping String of Schmancy Goblin Lights"
1462,"Very Long String of Schmancy Goblin Lights"
1463,"Long String of Schmancy Goblin Lights"
1748,"Octagonal Ochre Window"
1749,"Meadery Ochre Window"
1750,"Ornate Ochre Window"
1893,"Overgrown Arathi Trellis"
1984,"Schmancy Goblin String Lights"
2470,"Decorative Cinder Honeypot"
2471,"Dornic Sliced Mineloaf"
2472,"Earthen Hospitality Cheese-Like Brick"
2532,"Kaheti Scribe's Records"
2533,"Tome of Earthen Directives"
3889,"Earthcrawl Mine Cart"
3890,"Deephaul Crystal"
3891,"Deactivated K'areshi Warp Cannon"
4178,"Non-Fatal One-Armed Bandit"
4560,"Relaxing Goblin Beach Chair with Cup Gripper"
4561,"Amirdrassil Stool"
9167,"Dornogal Framed Rug"
9168,"Stonelight Countertop"
9169,"Boulder Springs Recliner"
9170,"Boulder Springs Hot Tub"
9178,"Earthen Etched Throne"
9179,"Freywold Bench"
9180,"Dornogal Bookcase"
9181,"Rambleshire Resting Platform"
9182,"Fallside Lantern"
9183,"Freywold Seat"
9184,"Freywold Table"
9185,"Dornogal Brazier"
9186,"Dornogal Hanging Lantern"
9187,"Dornogal Hanging Sconce"
9188,"Coreway Sentinel Lamppost"
9236,"Earthen Chain Wall Shelf"
9237,"Fallside Storage Tent"
9238,"Algari Fence"
9239,"Algari Fencepost"
9240,"Freywold Fountain"
9241,"Forgeground Market Bins"
9242,"Earthen Storage Crate"
9243,"Meadery Storage Chest"
9244,"Earthen Contender's Target"
9245,"Replica Awakening Machine Stasis Pod"
9246,"Gundargaz Grand Keg"
9247,"Meadery Storage Barrel"
9268,"Replica Rumbling Wastes Drill Pod"
9269,"Gundargaz Candelabra"
10852,"Undermine Mechanic's Hanging Lamp"
