"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_id","completion_quest_id","selection_decision"
"9548","Buried Treasures","0","39604","Garrosh's Shackles","26145","27","37130",,"37130","include_wod"
"9548","Buried Treasures","1","39605","Warsong Relics","26146","27","37132",,"37132","include_wod"
"9548","Buried Treasures","2","39606","Warsong Remains","26147","27","37133",,"37133","include_wod"
"9548","Buried Treasures","3","39607","Stolen Draenei Tome","26148","27","37134",,"37134","include_wod"
"9548","Buried Treasures","4","39608","Wolf Pup Remains","26149","27","37135",,"37135","include_wod"
"9548","Buried Treasures","5","39609","Gnarled Bone","26150","27","37136",,"37136","include_wod"
"9726","Treasure Hunter","0","40974","","24461","27","33916",,"33916","exclude_threshold_duplicate"
"9726","Treasure Hunter","1","40975","","23564","27","32803",,"32803","exclude_threshold_duplicate"
"9726","Treasure Hunter","2","40976","","26802","27","33016",,"33016","exclude_threshold_duplicate"
"9726","Treasure Hunter","3","40977","","26803","27","33500",,"33500","exclude_threshold_duplicate"
"9726","Treasure Hunter","4","40978","","26804","27","33502",,"33502","exclude_threshold_duplicate"
"9726","Treasure Hunter","5","40979","","26805","27","33505",,"33505","exclude_threshold_duplicate"
"9726","Treasure Hunter","6","40980","","26806","27","33017",,"33017","exclude_threshold_duplicate"
"9726","Treasure Hunter","7","40981","","26807","27","33532",,"33532","exclude_threshold_duplicate"
"9726","Treasure Hunter","8","40982","","26808","27","33930",,"33930","exclude_threshold_duplicate"
"9726","Treasure Hunter","9","40983","","26809","27","33940",,"33940","exclude_threshold_duplicate"
"9726","Treasure Hunter","10","40984","","26810","27","33942",,"33942","exclude_threshold_duplicate"
"9726","Treasure Hunter","11","40985","","26811","27","33946",,"33946","exclude_threshold_duplicate"
"9726","Treasure Hunter","12","40986","","26812","27","33947",,"33947","exclude_threshold_duplicate"
"9726","Treasure Hunter","13","40987","","26813","27","33948",,"33948","exclude_threshold_duplicate"
"9726","Treasure Hunter","14","40988","","26814","27","33949",,"33949","exclude_threshold_duplicate"
"9726","Treasure Hunter","15","40989","","26815","27","33989",,"33989","exclude_threshold_duplicate"
"9726","Treasure Hunter","16","40990","","26816","27","33991",,"33991","exclude_threshold_duplicate"
"9726","Treasure Hunter","17","40991","","26817","27","33996",,"33996","exclude_threshold_duplicate"
"9726","Treasure Hunter","18","40992","","26818","27","33998",,"33998","exclude_threshold_duplicate"
"9726","Treasure Hunter","19","40993","","26819","27","34476",,"34476","exclude_threshold_duplicate"
"9726","Treasure Hunter","20","40994","","26822","27","34507",,"34507","exclude_threshold_duplicate"
"9726","Treasure Hunter","21","40995","","26823","27","34520",,"34520","exclude_threshold_duplicate"
"9726","Treasure Hunter","22","40996","","26824","27","34521",,"34521","exclude_threshold_duplicate"
"9726","Treasure Hunter","23","40997","","26825","27","34641",,"34641","exclude_threshold_duplicate"
"9726","Treasure Hunter","24","40998","","26826","27","34642",,"34642","exclude_threshold_duplicate"
"9726","Treasure Hunter","25","40999","","26827","27","34647",,"34647","exclude_threshold_duplicate"
"9726","Treasure Hunter","26","41000","","26828","27","34648",,"34648","exclude_threshold_duplicate"
"9726","Treasure Hunter","27","41001","","26829","27","34652",,"34652","exclude_threshold_duplicate"
"9726","Treasure Hunter","28","41002","","26830","27","34713",,"34713","exclude_threshold_duplicate"
"9726","Treasure Hunter","29","41003","","26831","27","34931",,"34931","exclude_threshold_duplicate"
"9726","Treasure Hunter","30","41004","","26832","27","34841",,"34841","exclude_threshold_duplicate"
"9726","Treasure Hunter","31","41005","","26833","27","34967",,"34967","exclude_threshold_duplicate"
"9726","Treasure Hunter","32","41006","","26834","27","35347",,"35347","exclude_threshold_duplicate"
"9726","Treasure Hunter","33","41007","","26835","27","35367",,"35367","exclude_threshold_duplicate"
"9726","Treasure Hunter","34","41008","","26836","27","35368",,"35368","exclude_threshold_duplicate"
"9726","Treasure Hunter","35","41009","","26837","27","35369",,"35369","exclude_threshold_duplicate"
"9726","Treasure Hunter","36","41010","","26838","27","35370",,"35370","exclude_threshold_duplicate"
"9726","Treasure Hunter","37","41011","","26839","27","35371",,"35371","exclude_threshold_duplicate"
"9726","Treasure Hunter","38","41012","","26840","27","35373",,"35373","exclude_threshold_duplicate"
"9726","Treasure Hunter","39","41013","","26841","27","35567",,"35567","exclude_threshold_duplicate"
"9726","Treasure Hunter","40","41014","","26842","27","35569",,"35569","exclude_threshold_duplicate"
"9726","Treasure Hunter","41","41015","","26843","27","35568",,"35568","exclude_threshold_duplicate"
"9726","Treasure Hunter","42","41016","","26844","27","35570",,"35570","exclude_threshold_duplicate"
"9726","Treasure Hunter","43","41017","","26845","27","36863",,"36863","exclude_threshold_duplicate"
"9726","Treasure Hunter","44","41018","","26846","27","33384",,"33384","exclude_threshold_duplicate"
"9726","Treasure Hunter","45","41019","","26847","27","33613",,"33613","exclude_threshold_duplicate"
"9726","Treasure Hunter","46","41020","","26848","27","33564",,"33564","exclude_threshold_duplicate"
"9726","Treasure Hunter","47","41021","","26849","27","33565",,"33565","exclude_threshold_duplicate"
"9726","Treasure Hunter","48","41022","","26850","27","33566",,"33566","exclude_threshold_duplicate"
"9726","Treasure Hunter","49","41023","","26851","27","33567",,"33567","exclude_threshold_duplicate"
"9726","Treasure Hunter","50","41024","","26852","27","35581",,"35581","exclude_threshold_duplicate"
"9726","Treasure Hunter","51","41025","","26853","27","33570",,"33570","exclude_threshold_duplicate"
"9726","Treasure Hunter","52","41026","","26854","27","35919",,"35919","exclude_threshold_duplicate"
"9726","Treasure Hunter","53","41027","","26855","27","33572",,"33572","exclude_threshold_duplicate"
"9726","Treasure Hunter","54","41028","","26856","27","33574",,"33574","exclude_threshold_duplicate"
"9726","Treasure Hunter","55","41029","","26857","27","33575",,"33575","exclude_threshold_duplicate"
"9726","Treasure Hunter","56","41030","","26858","27","33610",,"33610","exclude_threshold_duplicate"
"9726","Treasure Hunter","57","41031","","26859","27","33611",,"33611","exclude_threshold_duplicate"
"9726","Treasure Hunter","58","41032","","26860","27","33612",,"33612","exclude_threshold_duplicate"
"9726","Treasure Hunter","59","41033","","26861","27","33867",,"33867","exclude_threshold_duplicate"
"9726","Treasure Hunter","60","41034","","26862","27","33869",,"33869","exclude_threshold_duplicate"
"9726","Treasure Hunter","61","41035","","26863","27","33886",,"33886","exclude_threshold_duplicate"
"9726","Treasure Hunter","62","41036","","26864","27","33891",,"33891","exclude_threshold_duplicate"
"9726","Treasure Hunter","63","41037","","26865","27","33885",,"33885","exclude_threshold_duplicate"
"9726","Treasure Hunter","64","41038","","26866","27","34174",,"34174","exclude_threshold_duplicate"
"9726","Treasure Hunter","65","41039","","26867","27","35279",,"35279","exclude_threshold_duplicate"
"9726","Treasure Hunter","66","41040","","26868","27","35280",,"35280","exclude_threshold_duplicate"
"9726","Treasure Hunter","67","41041","","26869","27","37254",,"37254","exclude_threshold_duplicate"
"9726","Treasure Hunter","68","41042","","26870","27","35530",,"35530","exclude_threshold_duplicate"
"9726","Treasure Hunter","69","41043","","26871","27","33568",,"33568","exclude_threshold_duplicate"
"9726","Treasure Hunter","70","41044","","26872","27","33584",,"33584","exclude_threshold_duplicate"
"9726","Treasure Hunter","71","41045","","26873","27","33569",,"33569","exclude_threshold_duplicate"
"9726","Treasure Hunter","72","41046","","26874","27","33573",,"33573","exclude_threshold_duplicate"
"9726","Treasure Hunter","73","41047","","26875","27","33540",,"33540","exclude_threshold_duplicate"
"9726","Treasure Hunter","74","41048","","26876","27","33614",,"33614","exclude_threshold_duplicate"
"9726","Treasure Hunter","75","41049","","26877","27","33866",,"33866","exclude_threshold_duplicate"
