"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_id","completion_quest_id","selection_decision"
"9400","Gorgrond Monster Hunter","0","38468","Biolante","25568","0","75207","75207",,"include_wod"
"9400","Gorgrond Monster Hunter","1","38469","Roardan the Sky Terror","25569","0","77093","77093",,"include_wod"
"9400","Gorgrond Monster Hunter","2","38470","Crater Lord Igneous","25570","0","81528","81528",,"include_wod"
"9400","Gorgrond Monster Hunter","3","38471","Dessicus of the Dead Pools","25571","0","81529","81529",,"include_wod"
"9400","Gorgrond Monster Hunter","4","38472","Khargax the Devourer","25572","0","81537","81537",,"include_wod"
"9400","Gorgrond Monster Hunter","5","38473","Erosian the Violent","25573","0","81540","81540",,"include_wod"
"9400","Gorgrond Monster Hunter","6","38474","Charl Doomwing","25574","0","81548","81548",,"include_wod"
"9400","Gorgrond Monster Hunter","7","38475","Fungal Praetorian","25575","0","80785","80785",,"include_wod"
"10061","Hellbane","0","44087","Terrorfist, Son of Kormrok","28221","0","95044","95044",,"include_wod"
"10061","Hellbane","1","44088","Deathtalon, Avatar of Iskar","28220","0","95053","95053",,"include_wod"
"10061","Hellbane","2","44089","Vengeance, Avatar of Velhari","28219","0","95054","95054",,"include_wod"
"10061","Hellbane","3","44090","Doomroller, Mar'tak's Creation","28218","0","95056","95056",,"include_wod"
"10070","Jungle Stalker","0","44242","Podlord Wakkawam","28329","0","91374","91374",,"include_wod"
"10070","Jungle Stalker","1","44243","Bramblefell","28330","0","91093","91093",,"include_wod"
"10070","Jungle Stalker","2","44244","Zeter'el","28331","0","91087","91087",,"include_wod"
"10070","Jungle Stalker","3","44245","Felspark","28332","0","91098","91098",,"include_wod"
"10070","Jungle Stalker","4","44246","Imp-Master Valessa","28333","0","90429","90429",,"include_wod"
"10070","Jungle Stalker","5","44247","Lady Oran","28334","0","90438","90438",,"include_wod"
"10070","Jungle Stalker","6","44248","Jax'zor","28335","0","90437","90437",,"include_wod"
"10070","Jungle Stalker","7","44249","Ceraxas","28336","0","90434","90434",,"include_wod"
"10070","Jungle Stalker","8","44250","Mistress Thavra","28337","0","90442","90442",,"include_wod"
"10070","Jungle Stalker","9","44251","Cindral the Wildfire","28338","0","90519","90519",,"include_wod"
"10070","Jungle Stalker","10","44252","Sergeant Mor'grak","28339","0","90024","90024",,"include_wod"
"10070","Jungle Stalker","11","44253","Varyx the Damned","28340","0","92451","92451",,"include_wod"
"10070","Jungle Stalker","12","44254","Rasthe","28341","0","90782","90782",,"include_wod"
