"status","current_exists","currency_id","name","description","category_id","faction_id","max_quantity","flags"
"wod_collectible_requirement","True","810","Black Iron Fragment","Scavenged from the shattered armor and weapons of Iron Horde invaders.","133",,"0","66"
"wod_collectible_requirement","True","821","Draenor Clans Archaeology Fragment","","82",,"250","34"
"wod_collectible_requirement","True","823","Apexis Crystal","The enduring legacy of a lost civilization, Apexis crystals contain untold reserves of magical power.","137",,"0","8194"
"wod_collectible_requirement","True","824","Garrison Resources","Earn resources to build-up and expand your garrison.","137",,"10000","2"
"wod_collectible_requirement","True","828","Ogre Archaeology Fragment","","82",,"250","34"
"wod_collectible_requirement","True","829","Arakkoa Archaeology Fragment","","82",,"250","34"
"wod_collectible_requirement","True","910","Secret of Draenor Alchemy","Allows you to obtain new Alchemy recipes from the Alchemist's Lab.","137",,"0","0"
"wod_collectible_requirement","True","944","Artifact Fragment","A tiny fragment of an Ashran lost artifact, treasured by the Highmaul Ogres.","137",,"100000","8202"
"wod_collectible_requirement","True","980","Dingy Iron Coins","Perhaps they're more valuable than they appear on the surface.","137",,"2000000","8"
"wod_collectible_requirement","True","994","Seal of Tempered Fate","Twists fate to provide an opportunity for additional treasure in Highmaul or Blackrock Foundry raids.","137",,"20","2"
"wod_collectible_requirement","True","999","Secret of Draenor Tailoring","Allows you to obtain Tailoring recipes from the Tailoring Emporium.","137",,"0","0"
"wod_collectible_requirement","True","1008","Secret of Draenor Jewelcrafting","Allows you to obtain new Jewelcrafting recipes.","137",,"0","0"
"wod_collectible_requirement","True","1017","Secret of Draenor Leatherworking","Allows you to obtain Leatherworking recipes from the Tannery.","137",,"0","0"
"wod_collectible_requirement","True","1020","Secret of Draenor Blacksmithing","Allows you to obtain new Blacksmithing recipes.","137",,"0","0"
"wod_collectible_requirement","True","1101","Oil","Found primarily in Tanaan Jungle, Oil is used to fuel naval missions.","137",,"100000","66"
"wod_collectible_requirement","True","1129","Seal of Inevitable Fate","Twists fate to provide an opportunity for additional treasure in Hellfire Citadel or Draenor Mythic Dungeons.","137",,"20","2"
"wod_collectible_requirement","True","1191","Valor","A currency used to increase the power of items from Hellfire Citadel, Tanaan Jungle, Draenor Dungeons, and powerful crafted items.","22",,"5000","66"
