"collectible_type","source_id_type","source_id","final_legion_db2_id","name","in_final_legion_snapshot","source_text","source_url","guide_url"
"mount","spell","171629","621","Armored Frostboar","True","Armored Frostboar Subsists almost entirely on a diet of frozen berries though it finds slow off-worlders equally tasty. Achievement: Advanced Husbandry -- --","https://www.wowhead.com/spell=171629/armored-frostboar&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171838","644","Armored Frostwolf","True","Armored Frostwolf It's trained to survive the harsh climate of Frostfire Ridge, so it snuggles as if its life depended on it. Achievement: The Stablemaster -- --","https://www.wowhead.com/spell=171838/armored-frostwolf&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171626","618","Armored Irontusk","True","Armored Irontusk It is said an elekk never forgets. No wonder it despises the Iron Horde, considering the torment the orcs put the beast through. (Alliance) Vendor Garrison Trading Post Faction: Sha'tari Defense – Exalted 5,000 Gold + 5,000 Apexis Crystals","https://www.wowhead.com/spell=171626/armored-irontusk&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171630","622","Armored Razorback","True","Armored Razorback Never…ever…EVER…let it smell bacon on you. Drop: Vengeance, Deathtalon, Terrofist, Doomroller Tanaan Jungle --","https://www.wowhead.com/spell=171630/armored-razorback&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","294568",,"Irontusk","False","Beastlord's Irontusk One of Darmac's trained beasts, its tusks, can pierce event he hardest Iron Horde steel. Vendors: Kronnus and Tempra Warspear and Stormshield 5,000 Timewarped Badges","https://www.wowhead.com/spell=294568/beastlords-irontusk&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","294569",,"Warwolf","False","Beastlord's Warwolf One of Darmac's trained beasts, it was raised in a crucible of molten fire and shows no fear. Vendors: Kronnus and Tempra Warspear and Stormshield 5,000 Timewarped Badges","https://www.wowhead.com/spell=294569/beastlords-warwolf&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","190690","765","Bristling Hellboar","True","Bristling Hellboar The one and only source for the rare culinary ingredient: cursed bacon. Vendor: Z'tenga the Walker Tanaan Jungle Faction: The Saberstalkers – Exalted 5000 Blackfang Claw","https://www.wowhead.com/spell=190690/bristling-hellboar&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","189364","762","Coalfist Gronnling","True","Coalfist Gronnling This little gronnling is well-known for smashing his way into garrison inns and making a mess of the pots and pans. Garrison Mission: Breaker Two Frostfire Ridge and --","https://www.wowhead.com/spell=189364/coalfist-gronnling","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","183117","753","Corrupted Dreadwing","True","Corrupted Dreadwing Bathed in the blood of demons, these corrupted Dread Ravens are significantly more aggressive, and will often kill one another if kept in confinement. Vendor: Dawn-Seeker Krisek Tanaan Jungle Faction: Order of the Awakened – Friendly 150,000 Apexis Crystals","https://www.wowhead.com/spell=183117/corrupted-dreadwing*brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","127271","488","Crimson Water Strider","True","Crimson Water Strider ""Normally bugs are for bait, but how could you look into its eyes and even think that?""- Nat Pagle Vendor: Nat Pagle Garrison Fishing Shack","https://www.wowhead.com/spell=127271/crimson-water-strider&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","190977","768","Deathtusk Felboar","True","Deathtusk Felboar Veterans of the battle for Outland's Hellfire Penninsula are traumatized by thoughts of these beasts to this day. Vendors: Shadow Hunter Denjai or Vindicator Krethos Tanaan Jungle Faction: Vol' jin's Headhunters- Exalted or Hand of the Prophet - Exalted","https://www.wowhead.com/spell=190977/deathtusk-felboar&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171634","625","Domesticated Razorback","True","Domesticated Razorback ""Domesticated"" does not mean ""friendly."" Bring some treats. Vendor: Gazrix Gearlock/Mimi Wizzlebub Stormshield/ Warspear Fation: Steemwheedle ""Preservation"" Society – Exalted 5,000 Gold and 5,000 Apexis Crystals","https://www.wowhead.com/spell=171634/domesticated-razorback&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171625","617","Dusty Rockhide","True","Dusty Rockhide Ever since acquiring this mount, you have been plagued by strange fever dreams of hippety-hoppety-clippety-cloppety elekk on parade. Vendor: Vindicator Nuurem Stormshield Faction: Council of Exarchs – Exalted 5,000 Gold + 5,000 Apexis Crystals","https://www.wowhead.com/spell=171625/dusty-rockhide&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","182912","751","Felsteel Annihilator","True","Felsteel Annihilator Forged deep within Hellfire Citadel by a mad blacksmith, the Felsteel Annihilator combines the metalworking knowledge of the Iron Horde with the chaotic fel energies of the Burning Legion into an unholy union of steel and flame. Drop: Archimonde Mythic Difficulty: Hellfire Citadel --","https://www.wowhead.com/spell=182912/felsteel-annihilator&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171632","623","Frostplains Battleboar","True","Frostplains Battleboar If it didn't have the cool tusk ring, it would feel so silly in that outfit. Achievement: Glory of the Dungeon Hero -- --","https://www.wowhead.com/spell=171632/frostplains-battleboar&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171851","657","Garn Nighthowl","True","Garn Nighthowl The garn are the most fierce predators on Draenor, and always hunt in packs. Drop: Nok-Karosh Frostfire Ridge --","https://www.wowhead.com/spell=171851/garn-nighthowl&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171836","642","Garn Steelmaw","True","Garn Steelmaw A Trainer once tried to put decorative metal in his steelmaw wolf's mouth. He had to wait three days to get it back. Drop: Invader's Forgotten Treasure Garrison Invasion --","https://www.wowhead.com/spell=171836/garn-steelmaw&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171635","626","Giant Coldsnout","True","Giant Coldsnout Its snout is not just cold but wet. Not a pleasant way to wake up. Drop: Invader's Forgotten Treasure Garrison Invasion --","https://www.wowhead.com/spell=171635/giant-coldsnout&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171436","607","Gorestrider Gronnling","True","Gorestrider Gronnling Once ""befriended,"" a gronnling will happily carry its rider to their death. Achievement: Glory of the Draenor Raider -- --","https://www.wowhead.com/spell=171436/gorestrider-gronnling&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171636","627","Great Greytusk","True","Great Greytusk Sheds its tusks once a year. Is extremely shy until they grow back. Drop: Gorok Frostfire Ridge --","https://www.wowhead.com/spell=171636/great-greytusk&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","186305","758","Infernal Direwolf","True","Infernal Direwolf A mighty wolf of Draenor, touched by the fel energies unleashed by Gul' dan in Tanaan Jungle. It has not gone completely mad…yet. Achievement: Glory of the Hellfire Raider -- --","https://www.wowhead.com/spell=186305/infernal-direwolf&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171621","613","Ironhoof Destroyer","True","Ironhoof Destroyer Blackhand is said to have personally designed the fiery armaments used on the Iron Horde's clefthoof battle mounts. Drop: Blackhand Blackrock Foundry (Mythic) --","https://www.wowhead.com/spell=171621/ironhoof-destroyer&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171839","645","Ironside Warwolf","True","Ironside Warwolf It has an armored spike on its tail. Scratch its belly at your own risk. Vendor: Kil' rip Horde Garrison Trading Post Faction: Laughing Skull – Exalted 5,000 Gold + 5,000 Apexis Crystals","https://www.wowhead.com/spell=171839/ironside-warwolf&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171825","632","Mosshide Riverwallow","True","Mosshide Riverwallow Aggressive and territorial, the mosshide is known for hiding in river-shore scrub and ambushing unwary passerby. Vendor: Dawn-Seeker Krek/Dawn-Seeker Alkset Stormshield/Warspear 50,000 Gold + 5,000 Apexis Crystals","https://www.wowhead.com/spell=171825/mosshide-riverwallow&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
"mount","spell","171826","631","Mudback Riverbeast","True","Mudback Riverbeast Special webbing that grows on the soles of the mudback's feet gives them extra traction in mud and slick terrain. Garrison Mission: It's a Boat. It's a Plane. It's…Just a Riverbeast. Garrison --","https://www.wowhead.com/spell=171826/mudback-riverbeast&brl","https://news.blizzard.com/en-us/article/23442725/warlords-of-draenor-mounts-pets-and-more"
