"achievement_id","title","category_id","order_path","tree_id","description","criteria_id","criteria_type","asset_id","amount","operator"
"33","Nothing Boring About Borean","14863","0/0","63868","","39025","27","11794","1","0"
"33","Nothing Boring About Borean","14863","1/0","63870","","39026","27","11913","1","0"
"33","Nothing Boring About Borean","14863","1/1","63871","","39027","27","12035","1","0"
"33","Nothing Boring About Borean","14863","1/2","63872","","39028","27","11965","1","0"
"33","Nothing Boring About Borean","14863","2/0","63874","","347","27","11892","1","0"
"33","Nothing Boring About Borean","14863","3/0","63876","","39029","27","12728","1","0"
"33","Nothing Boring About Borean","14863","3/1","63877","","39030","27","11733","1","0"
"33","Nothing Boring About Borean","14863","3/2","63878","","39031","27","11969","1","0"
"33","Nothing Boring About Borean","14863","3/3","63879","","39032","27","11931","1","0"
"33","Nothing Boring About Borean","14863","3/4","63880","","39033","27","11914","1","0"
"33","Nothing Boring About Borean","14863","4/0","63882","","39034","27","11626","1","0"
"33","Nothing Boring About Borean","14863","4/1","63883","","39035","27","11968","1","0"
"33","Nothing Boring About Borean","14863","5/0","63885","","39036","27","11570","1","0"
"33","Nothing Boring About Borean","14863","5/1","63886","","39037","27","11569","1","0"
"33","Nothing Boring About Borean","14863","5/2","63887","","39038","27","11566","1","0"
"33","Nothing Boring About Borean","14863","5/3","63888","","39039","27","11564","1","0"
"33","Nothing Boring About Borean","14863","5/4","63889","","39040","27","11561","1","0"
"33","Nothing Boring About Borean","14863","6/0","63891","","39041","27","12088","1","0"
"33","Nothing Boring About Borean","14863","7/0","63893","","39042","27","12019","1","0"
"34","I've Toured the Fjord","14863","0/0","63719","","38976","27","11291","1","0"
"34","I've Toured the Fjord","14863","0/1","63720","","38977","27","11436","1","0"
"34","I've Toured the Fjord","14863","1/0","63722","","38975","27","11344","1","0"
"34","I've Toured the Fjord","14863","2/0","63724","","38978","27","11501","1","0"
"34","I've Toured the Fjord","14863","3/0","63726","","38979","27","11572","1","0"
"34","I've Toured the Fjord","14863","4/0","63728","","38980","27","11471","1","0"
"34","I've Toured the Fjord","14863","5/0","63730","","38981","27","11467","1","0"
"34","I've Toured the Fjord","14863","6/0","63732","","38982","27","11332","1","0"
"34","I've Toured the Fjord","14863","7/0","63734","","38983","27","11250","1","0"
"34","I've Toured the Fjord","14863","8/0","63736","","38984","27","11452","1","0"
"34","I've Toured the Fjord","14863","8/1","63737","","38985","27","11236","1","0"
"34","I've Toured the Fjord","14863","8/2","63738","","38986","27","11239","1","0"
"34","I've Toured the Fjord","14863","8/3","63739","","38987","27","11432","1","0"
"34","I've Toured the Fjord","14863","8/4","63740","","38988","27","11238","1","0"
"34","I've Toured the Fjord","14863","9/0","63742","","38989","27","11428","1","0"
"34","I've Toured the Fjord","14863","10/0","63744","","38990","27","11348","1","0"
"34","I've Toured the Fjord","14863","10/1","63745","","38991","27","11359","1","0"
"34","I've Toured the Fjord","14863","11/0","63747","","38992","27","11326","1","0"
"35","Might of Dragonblight","14863","0/0","63797","","39007","27","12169","1","0"
"35","Might of Dragonblight","14863","1/0","63799","","39008","27","12107","1","0"
"35","Might of Dragonblight","14863","2/0","63801","","39009","27","12123","1","0"
"35","Might of Dragonblight","14863","3/0","63803","","39010","27","12266","1","0"
"35","Might of Dragonblight","14863","3/1","63804","","39011","27","12459","1","0"
"35","Might of Dragonblight","14863","3/2","63805","","39012","27","12456","1","0"
"35","Might of Dragonblight","14863","3/3","63806","","39013","27","13343","1","0"
"35","Might of Dragonblight","14863","4/0","63808","","285","27","12499","1","0"
"35","Might of Dragonblight","14863","5/0","63810","","39014","27","12478","1","0"
"35","Might of Dragonblight","14863","6/0","63813","","39016","27","12078","1","0"
"35","Might of Dragonblight","14863","6/1","63814","","39017","27","12080","1","0"
"35","Might of Dragonblight","14863","7/0","63866","","39024","27","12032","1","0"
"36","The Empire of Zul'Drak","14863","0/0","63980","","39098","27","12516","1","0"
"36","The Empire of Zul'Drak","14863","1/0","64004","","39099","27","12685","1","0"
"36","The Empire of Zul'Drak","14863","2/0","64006","","39100","27","12730","1","0"
"36","The Empire of Zul'Drak","14863","3/0","64002","","5799","27","12948","1","0"
"36","The Empire of Zul'Drak","14863","4/0","63982","","39083","27","12859","1","0"
"36","The Empire of Zul'Drak","14863","4/1","63983","","39084","27","12861","1","0"
"36","The Empire of Zul'Drak","14863","4/2","63984","","39085","27","12883","1","0"
"36","The Empire of Zul'Drak","14863","5/0","63986","","39086","27","12903","1","0"
"36","The Empire of Zul'Drak","14863","5/1","63987","","39087","27","12901","1","0"
"36","The Empire of Zul'Drak","14863","5/2","63988","","39088","27","12904","1","0"
"36","The Empire of Zul'Drak","14863","5/3","63989","","39089","27","12919","1","0"
"36","The Empire of Zul'Drak","14863","6/0","63991","","5805","27","12713","1","0"
"36","The Empire of Zul'Drak","14863","7/0","63993","","39090","27","12504","1","0"
"36","The Empire of Zul'Drak","14863","7/1","63994","","39091","27","12508","1","0"
"36","The Empire of Zul'Drak","14863","7/2","63995","","39092","27","12584","1","0"
"36","The Empire of Zul'Drak","14863","7/3","63996","","39093","27","12554","1","0"
"36","The Empire of Zul'Drak","14863","7/4","63997","","39094","27","12555","1","0"
"36","The Empire of Zul'Drak","14863","7/5","63998","","39095","27","12506","1","0"
"36","The Empire of Zul'Drak","14863","7/6","63999","","39096","27","12512","1","0"
"36","The Empire of Zul'Drak","14863","7/7","64000","","39097","27","12596","1","0"
"37","Fo' Grizzle My Shizzle","14863","0/0","64027","","39108","27","12249","1","0"
"37","Fo' Grizzle My Shizzle","14863","1/0","64029","","39109","27","12153","1","0"
"37","Fo' Grizzle My Shizzle","14863","2/0","64031","","39110","27","12185","1","0"
"37","Fo' Grizzle My Shizzle","14863","3/0","64033","","39111","27","12068","1","0"
"37","Fo' Grizzle My Shizzle","14863","4/0","64035","","39112","27","12164","1","0"
"37","Fo' Grizzle My Shizzle","14863","5/0","64037","","39113","27","12152","1","0"
"38","The Summit of Storm Peaks","14863","0/0","63941","","39058","27","12822","1","0"
"38","The Summit of Storm Peaks","14863","0/1","63942","","39059","27","12824","1","0"
"38","The Summit of Storm Peaks","14863","1/0","63944","","39060","27","12867","1","0"
"38","The Summit of Storm Peaks","14863","1/1","63945","","39061","27","12868","1","0"
"38","The Summit of Storm Peaks","14863","2/0","63947","","39062","27","12872","1","0"
"38","The Summit of Storm Peaks","14863","2/1","63948","","39063","27","12928","1","0"
"38","The Summit of Storm Peaks","14863","3/0","63950","","39064","27","12965","1","0"
"38","The Summit of Storm Peaks","14863","3/1","63951","","39065","27","12978","1","0"
"38","The Summit of Storm Peaks","14863","3/2","63952","","39066","27","13007","1","0"
"38","The Summit of Storm Peaks","14863","4/0","63954","","39067","27","12973","1","0"
"38","The Summit of Storm Peaks","14863","4/1","63955","","39068","27","12876","1","0"
"38","The Summit of Storm Peaks","14863","5/0","63957","","39069","27","13426","1","0"
"38","The Summit of Storm Peaks","14863","6/0","63959","","39070","27","13058","1","0"
"38","The Summit of Storm Peaks","14863","7/0","63961","","39071","27","12972","1","0"
"38","The Summit of Storm Peaks","14863","8/0","63963","","39072","27","13064","1","0"
"38","The Summit of Storm Peaks","14863","9/0","63965","","39073","27","12976","1","0"
"38","The Summit of Storm Peaks","14863","9/1","63966","","39074","27","12987","1","0"
"38","The Summit of Storm Peaks","14863","9/2","63967","","39075","27","13001","1","0"
"38","The Summit of Storm Peaks","14863","10/0","63969","","39076","27","13047","1","0"
"39","Into the Basin","14863","0/0","63928","","39053","27","12595","1","0"
"39","Into the Basin","14863","1/0","63930","","2004","27","12614","1","0"
"39","Into the Basin","14863","2/0","63934","","39054","27","12540","1","0"
"39","Into the Basin","14863","3/0","63936","","39055","27","12581","1","0"
"39","Into the Basin","14863","4/0","63938","","39056","27","12805","1","0"
"39","Into the Basin","14863","4/1","63939","","39057","27","12561","1","0"
"39","Into the Basin","14863","5/0","65257","","39726","27","12546","1","0"
"40","Icecrown: The Final Goal","14863","0/0","64054","","39139","27","13083","1","0"
"40","Icecrown: The Final Goal","14863","1/0","64084","","39135","27","13219","1","0"
"40","Icecrown: The Final Goal","14863","2/0","64086","","39136","27","13235","1","0"
"40","Icecrown: The Final Goal","14863","3/0","64088","","39137","27","13403","1","0"
"40","Icecrown: The Final Goal","14863","3/1","64089","","39138","27","13364","1","0"
"40","Icecrown: The Final Goal","14863","4/0","64076","","39130","27","12898","1","0"
"40","Icecrown: The Final Goal","14863","4/1","64077","","39131","27","12899","1","0"
"40","Icecrown: The Final Goal","14863","5/0","64079","","39132","27","13172","1","0"
"40","Icecrown: The Final Goal","14863","5/1","64080","","39133","27","13174","1","0"
"40","Icecrown: The Final Goal","14863","6/0","64082","","39134","27","13164","1","0"
"40","Icecrown: The Final Goal","14863","7/0","64057","","39119","27","13157","1","0"
"40","Icecrown: The Final Goal","14863","8/0/0","64060","","39120","27","13298","1","0"
"40","Icecrown: The Final Goal","14863","8/0/1","64061","","39121","27","13295","1","0"
"40","Icecrown: The Final Goal","14863","8/1/0","64063","","39122","27","13278","1","0"
"40","Icecrown: The Final Goal","14863","8/1/1","64064","","39123","27","13279","1","0"
"40","Icecrown: The Final Goal","14863","9/0","64066","","39124","27","13350","1","0"
"40","Icecrown: The Final Goal","14863","9/1","64067","","39125","27","13367","1","0"
"40","Icecrown: The Final Goal","14863","10/0/0","64070","","39126","27","13338","1","0"
"40","Icecrown: The Final Goal","14863","10/0/1","64071","","39127","27","13339","1","0"
"40","Icecrown: The Final Goal","14863","10/1/0","64073","","39128","27","13316","1","0"
"40","Icecrown: The Final Goal","14863","10/1/1","64074","","39129","27","13328","1","0"
"41","Loremaster of Northrend","14863","0/0","5759","Nothing Boring About Borean","82","8","33","1","0"
"41","Loremaster of Northrend","14863","0/1","29123","Nothing Boring About Borean","5045","8","1358","1","0"
"41","Loremaster of Northrend","14863","1/0","5757","I've Toured the Fjord","83","8","34","1","0"
"41","Loremaster of Northrend","14863","1/1","29129","I've Toured the Fjord","5049","8","1356","1","0"
"41","Loremaster of Northrend","14863","2/0","5760","Might of Dragonblight","84","8","35","1","0"
"41","Loremaster of Northrend","14863","2/1","29125","Might of Dragonblight","5046","8","1359","1","0"
"41","Loremaster of Northrend","14863","3/0","5762","Fo' Grizzle My Shizzle","86","8","37","1","0"
"41","Loremaster of Northrend","14863","3/1","29127","Fo' Grizzle My Shizzle","5048","8","1357","1","0"
"41","Loremaster of Northrend","14863","4","5761","The Empire of Zul'Drak","85","8","36","1","0"
"41","Loremaster of Northrend","14863","5","5764","Into the Basin","88","8","39","1","0"
"41","Loremaster of Northrend","14863","6","5763","The Summit of Storm Peaks","87","8","38","1","0"
"41","Loremaster of Northrend","14863","7","5758","Icecrown: The Final Goal","89","8","40","1","0"
"477","Utgarde Keep","14806","1","4312","Prince Keleseth","5377","0","23953","1","0"
"477","Utgarde Keep","14806","2","4310","Skarvald the Constructor","5378","0","24200","1","0"
"477","Utgarde Keep","14806","3","4313","Dalronn the Controller","5379","0","24201","1","0"
"477","Utgarde Keep","14806","4","4311","Ingvar the Plunderer","5380","0","23980","1","0"
"478","The Nexus","14806","1","1733","Grand Magus Telestra","5381","0","26731","1","0"
"478","The Nexus","14806","2","1730","Anomalus","5382","0","26763","1","0"
"478","The Nexus","14806","3","1731","Ormorok the Tree-Shaper","5383","0","26794","1","0"
"478","The Nexus","14806","4","1732","Keristrasza","5384","0","26723","1","0"
"479","The Culling of Stratholme","14806","1","1705","Meathook","5467","0","26529","1","0"
"479","The Culling of Stratholme","14806","2","1708","Chrono-Lord Epoch","5468","0","26532","1","0"
"479","The Culling of Stratholme","14806","3","1706","Salramm the Fleshcrafter","5469","0","26530","1","0"
