"status","current_exists","decor_id","item_id","name","catalog_scope","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","acquisition_source_url"
"acquisition_wrath_confirmed","True","1674","244852","Head of the Broodmother","global_acquisition_match","wrath","achievement","3 Head of the Broodmother Accents › Wall Hangings More Dots! (25 player) Axle (Mudsprocket, Dustwallow Marsh) 250","4405","","23995","","","https://housing.wowdb.com/decor/1674/head-of-the-broodmother-1674/"
"acquisition_wrath_confirmed","True","4448","248622","Wooden Outhouse","global_acquisition_match","wrath","quest","5 Wooden Outhouse Structural › Large Structures Doing Your Duty (Grizzly Hills) Woodsman Drake 500","","12227","27391","","","https://housing.wowdb.com/decor/4448/wooden-outhouse-4448/"
"acquisition_wrath_confirmed","True","4839","248807","Nesingwary Mounted Shoveltusk Head","global_acquisition_match","wrath","achievement","3 Nesingwary Mounted Shoveltusk Head Accents › Wall Hangings The Snows of Northrend Purser Boulian (Sholazar Basin) 500","938","","28038","","","https://housing.wowdb.com/decor/4839/nesingwary-mounted-shoveltusk-head-4839/"
"acquisition_wrath_confirmed","True","11375","257040","Dalaran Runic Anvil","wrath_theme","wrath","crafted","3 Dalaran Runic Anvil Accents › Ornamental Crafting: Blacksmithing Profession: Northrend Blacksmithing (60)","","","","1261327","","https://housing.wowdb.com/decor/11375/dalaran-runic-anvil-11375/"
"acquisition_wrath_confirmed","True","11432","257094","Mark of the Mages' Eye","wrath_theme","wrath","crafted","1 Mark of the Mages' Eye Lighting › Small Lights Crafting: Enchanting Profession: Northrend Enchanting (60)","","","","1262824","","https://housing.wowdb.com/decor/11432/mark-of-the-mages-eye-11432/"
"acquisition_wrath_confirmed","True","11439","257101","Stampwhistle's Postal Portal","wrath_theme","wrath","crafted","1 Stampwhistle's Postal Portal Functional › Utility Crafting: Enchanting Profession: Northrend Enchanting (60)","","","","1262825","","https://housing.wowdb.com/decor/11439/stampwhistles-postal-portal-11439/"
"acquisition_wrath_confirmed","True","11722","257693","Snowfall Tribe Scare-Totem","global_acquisition_match","wrath","crafted","3 Snowfall Tribe Scare-Totem Miscellaneous › Miscellaneous - All Crafting: Leatherworking Profession: Northrend Leatherworking (60)","","","","1269499","","https://housing.wowdb.com/decor/11722/snowfall-tribe-scare-totem-11722/"
"acquisition_wrath_confirmed","True","11872","258145","Eversong Party Platter","global_acquisition_match","wrath","quest","1 Eversong Party Platter Accents › Food and Drink Cheese for Glowergold (Dalaran)","","","","","","https://housing.wowdb.com/decor/11872/eversong-party-platter-11872/"
"acquisition_wrath_confirmed","True","11891","258203","Silver Dalaran Bench","wrath_theme","wrath","crafted","3 Silver Dalaran Bench Furnishings › Seating Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263562","","https://housing.wowdb.com/decor/11891/silver-dalaran-bench-11891/"
"acquisition_wrath_confirmed","True","11892","258204","Dalaran Post","wrath_theme","wrath","crafted","1 Dalaran Post Miscellaneous › Miscellaneous - All Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263575","","https://housing.wowdb.com/decor/11892/dalaran-post-11892/"
