"achievement_id","achievement","order_path","tree_id","criterion","criteria_id","criteria_type","criteria_asset","npc_id","completion_quest_id","object_id","selection_decision"
"2257","Frostbitten","0","8950","Loque'nahak","8100","0","32517","32517","","","include_wrath"
"2257","Frostbitten","1","8951","High Thane Jorfus","8101","0","32501","32501","","","include_wrath"
"2257","Frostbitten","2","8952","Hildana Deathstealer","8102","0","32495","32495","","","include_wrath"
"2257","Frostbitten","3","8965","Old Crystalbark","8103","0","32357","32357","","","include_wrath"
"2257","Frostbitten","4","8961","Fumblub Gearwind","8104","0","32358","32358","","","include_wrath"
"2257","Frostbitten","5","8953","Icehorn","8105","0","32361","32361","","","include_wrath"
"2257","Frostbitten","6","8946","Perobas the Bloodthirster","8106","0","32377","32377","","","include_wrath"
"2257","Frostbitten","7","8943","Vigdis the War Maiden","8107","0","32386","32386","","","include_wrath"
"2257","Frostbitten","8","8944","King Ping","8108","0","32398","32398","","","include_wrath"
"2257","Frostbitten","9","8945","Tukemuth","8109","0","32400","32400","","","include_wrath"
"2257","Frostbitten","10","8962","Crazed Indu'le Survivor","8110","0","32409","32409","","","include_wrath"
"2257","Frostbitten","11","8964","Scarlet Highlord Daion","8111","0","32417","32417","","","include_wrath"
"2257","Frostbitten","12","8947","Grocklar","8112","0","32422","32422","","","include_wrath"
"2257","Frostbitten","13","8948","Seething Hate","8113","0","32429","32429","","","include_wrath"
"2257","Frostbitten","14","8954","Syreian the Bonecarver","8114","0","32438","32438","","","include_wrath"
"2257","Frostbitten","15","8963","Zul'drak Sentinel","8115","0","32447","32447","","","include_wrath"
"2257","Frostbitten","16","8955","Griegen","8116","0","32471","32471","","","include_wrath"
"2257","Frostbitten","17","8956","Terror Spinner","8117","0","32475","32475","","","include_wrath"
"2257","Frostbitten","18","8949","Aotona","8118","0","32481","32481","","","include_wrath"
"2257","Frostbitten","19","8957","King Krush","8119","0","32485","32485","","","include_wrath"
"2257","Frostbitten","20","8958","Vyragosa","8120","0","32630","32630","","","include_wrath"
"2257","Frostbitten","21","8959","Dirkee","8121","0","32500","32500","","","include_wrath"
"2257","Frostbitten","22","8960","Putridus the Ancient","8122","0","32487","32487","","","include_wrath"
