"status","current_exists","achievement_id","title","description","category_id","category_name","criteria_tree_id","flags","points"
"wrath_category_confirmed","True","33","Nothing Boring About Borean","Complete the Borean Tundra storylines listed below.","14863","Northrend","1741","0","10"
"wrath_category_confirmed","True","34","I've Toured the Fjord","Complete the Howling Fjord storylines listed below.","14863","Northrend","5287","0","10"
"wrath_category_confirmed","True","35","Might of Dragonblight","Complete the Dragonblight storylines listed below.","14863","Northrend","1745","0","10"
"wrath_category_confirmed","True","36","The Empire of Zul'Drak","Complete the Zul'Drak storylines listed below.","14863","Northrend","1881","0","10"
"wrath_category_confirmed","True","37","Fo' Grizzle My Shizzle","Complete the Grizzly Hills storylines listed below.","14863","Northrend","5284","0","10"
"wrath_category_confirmed","True","38","The Summit of Storm Peaks","Complete the Storm Peaks storylines listed below.","14863","Northrend","1884","0","10"
"wrath_category_confirmed","True","39","Into the Basin","Complete the Sholazar Basin storylines listed below.","14863","Northrend","1887","0","10"
"wrath_category_confirmed","True","40","Icecrown: The Final Goal","Complete the Icecrown storylines listed below.","14863","Northrend","3375","0","10"
"wrath_category_confirmed","True","41","Loremaster of Northrend","Complete the Northrend quest achievements listed below.","14863","Northrend","5756","131072","10"
"wrath_category_confirmed","True","477","Utgarde Keep","Defeat the bosses in Utgarde Keep.","14806","Lich King Dungeon","4309","0","10"
"wrath_category_confirmed","True","478","The Nexus","Defeat the bosses in The Nexus.","14806","Lich King Dungeon","1729","0","10"
"wrath_category_confirmed","True","479","The Culling of Stratholme","Defeat the bosses in Caverns of Time: Stratholme.","14806","Lich King Dungeon","1704","0","10"
"wrath_category_confirmed","True","480","Azjol-Nerub","Defeat the bosses in Azjol-Nerub.","14806","Lich King Dungeon","2172","0","10"
"wrath_category_confirmed","True","481","Ahn'kahet: The Old Kingdom","Defeat the bosses in Ahn'kahet: The Old Kingdom.","14806","Lich King Dungeon","6281","0","10"
"wrath_category_confirmed","True","482","Drak'Tharon Keep","Defeat the bosses in Drak'Tharon Keep.","14806","Lich King Dungeon","1748","0","10"
"wrath_category_confirmed","True","483","The Violet Hold","Defeat Cyanigosa in The Violet Hold.","14806","Lich King Dungeon","1710","0","10"
"wrath_category_confirmed","True","484","Gundrak","Defeat the bosses in Gundrak.","14806","Lich King Dungeon","1839","0","10"
