"collectible_type","source_id_type","source_id","mapped_id","guide_name","mapping","source_text","source_url","guide_url"
"mount","item","47179","338","Argent Charger","item_effect","Argent Charger

	

Trained to accept only champions of the light as a rider.

Paladin Only

	

Vendor: Dame Evniki Kapsalis

	

Icecrown

	

100 Champion’s Seals","https://www.wowhead.com/item=47179/argent-charger&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
"mount","item","45725","305","Argent Hippogryph","item_effect","Argent Hippogryph

	

Argent Hippogryphs will partner with only the bravest and most battle-tested champions

	

Vendor: Faction Quartermasters

	

Argent Tournament, Icecrown

	

150 Champion’s Seals","https://www.wowhead.com/item=45725/argent-hippogryph&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
"mount","item","47180","341","Argent Warhorse","item_effect","Argent Warhorse

	

Given only to those who prove themselves a champion in the Argent Tournament.

	

Vendor: Evniki Kapsalis

	

Icecrown

	

100 Champion’s Seals","https://www.wowhead.com/item=47180/argent-warhorse&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
"mount","item","44690","277","Armored Blue Wind Rider","item_effect","Armored Blue Wind Rider

	

They are not native to Northrend, but they have adapted extremely well to the cold. – Mei Francis

	

Vendor: Mei Francis

	

Crystalsong Forest

	

2,000 Gold","https://www.wowhead.com/item=44690/armored-blue-wind-rider&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
"mount","spell","60116","270","Armored Brown Bear","source_spell","Armored Brown Bear

	

Your cries of “For the Horde!” will be much more menacing from atop a heavily armored bear that’s barreling down on Alliance at top speed.

Horde

	

Vendor: Mei Francis

	

Crystalsong Forest

	750 Gold","https://www.wowhead.com/spell=60116/armored-brown-bear&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
"mount","spell","60114","269","Armored Brown Bear","source_spell","Armored Brown Bear

	

This ursine mount’s swiftness is enhanced by its heavy armor, imbued with magic from Kirin Tor magi.

Alliance 

	

Vendor: Mei Francis

	

Crystalsong Forest

	

750 gold","https://www.wowhead.com/spell=60114/armored-brown-bear&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
"mount","spell","59567","246","Azure Drake","source_spell","Azure Drake

	

Always speak politely to an enraged dragon.

	

Drop: Alexstrasza’s Gift

	

The Eye of Eternity

	

--","https://www.wowhead.com/spell=59567/azure-drake&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
"mount","spell","59788","255","Black War Mammoth","source_spell","Black War Mammoth

	

Sure-footed and unflappable, these dark-furred mammoths are prized for their steady temperament going into battle.

Horde 

	Vendor: Stone Guard Mukar	Wintergrasp	15 Marks of Honor","https://www.wowhead.com/spell=59788/black-war-mammoth&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
"mount","spell","59785","254","Black War Mammoth","source_spell","Black War Mammoth	

Normally placid beasts, these intelligent animals form a strong bond with their riders, making them loyal and fearless in battle.

Alliance

	Vendor: Knight Dameron	Wintergrasp	15 Marks of Honor","https://www.wowhead.com/spell=59785/black-war-mammoth&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
"mount","item","51954","365","Bloodbathed Frostbrood Vanquisher","item_effect","Bloodbathed Frostbrood Vanquisher	Bloodbathed Vanquishers are so named when it is determined that a reanimated frost wyrm died a particularly gruesome and bloody death	Achievement: Glory of the Icecrown Raider (10 player)	--	--","https://www.wowhead.com/item=51954/reins-of-the-bloodbathed-frostbrood-vanquisher&brl","https://news.blizzard.com/en-us/article/23507736/wrath-of-the-lich-king-mounts-pets-and-more"
