"decor_id","item_id","catalog_name","catalog_scope","status","acquisition_expansion","source_kind","source_text","achievement_ids","quest_ids","npc_ids","source_spell_ids","currency_ids","source_item_ids","classification_note","acquisition_source_url"
"9475","253598","Banner of the Ebon Blade","wrath_theme","acquisition_midnight_confirmed","midnight","quest","1 Banner of the Ebon Blade Accents › Wall Hangings A Frostbitten Tally (Arcantina) Morta Gage (Arcantina) 500 Voidlight Marl","","92321","252873","","3316","","Current acquisition requires Midnight content","https://housing.wowdb.com/decor/9475/banner-of-the-ebon-blade-9475/"
"11375","257040","Dalaran Runic Anvil","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Dalaran Runic Anvil Accents › Ornamental Crafting: Blacksmithing Profession: Northrend Blacksmithing (60)","","","","1261327","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11375/dalaran-runic-anvil-11375/"
"11432","257094","Mark of the Mages' Eye","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Mark of the Mages' Eye Lighting › Small Lights Crafting: Enchanting Profession: Northrend Enchanting (60)","","","","1262824","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11432/mark-of-the-mages-eye-11432/"
"11439","257101","Stampwhistle's Postal Portal","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Stampwhistle's Postal Portal Functional › Utility Crafting: Enchanting Profession: Northrend Enchanting (60)","","","","1262825","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11439/stampwhistles-postal-portal-11439/"
"11891","258203","Silver Dalaran Bench","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Silver Dalaran Bench Furnishings › Seating Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263562","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11891/silver-dalaran-bench-11891/"
"11892","258204","Dalaran Post","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Dalaran Post Miscellaneous › Miscellaneous - All Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263575","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11892/dalaran-post-11892/"
"11894","258206","Gilded Dalaran Banner","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Gilded Dalaran Banner Accents › Wall Hangings Crafting: Tailoring Profession: Northrend Tailoring (60)","","","","1263620","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11894/gilded-dalaran-banner-11894/"
"11895","258207","Dalaran Scholar's Bookcase","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Dalaran Scholar's Bookcase Furnishings › Storage Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263570","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11895/dalaran-scholars-bookcase-11895/"
"11896","258208","Kirin Tor Sun Chandelier","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","3 Kirin Tor Sun Chandelier Lighting › Ceiling Lights Crafting: Jewelcrafting Profession: Northrend Jewelcrafting (60)","","","","1263605","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11896/kirin-tor-sun-chandelier-11896/"
"11897","258209","Kirin Tor Crate","wrath_theme","acquisition_wrath_confirmed","wrath","crafted","1 Kirin Tor Crate Furnishings › Storage Crafting: Inscription Profession: Northrend Inscription (60)","","","","1263574","","","Current acquisition requires Wrath of the Lich King content","https://housing.wowdb.com/decor/11897/kirin-tor-crate-11897/"
